Marca temporal,1. Utiliza habitualmente la página web de ATM,2. Le resultó simple la creación de su cuenta en Mis Trámites,3. Le resulta comprensible la sección de Mis Trámites,4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:,5. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2021 lo obtiene por:,Agregue aquí su sugerencia
4/2/2021 12:09:08,SI,NO,NO,Nada satisfactoria,Regular,Descarga de la página web de ATM,"No entiendo por qué motivo no atienden presencialmente para solucionar problemas, estuve 2 horas intentando comunicarme al 148 y llevo más de un mes tratando de sellar unos contratos..."
4/2/2021 12:19:24,SI,SI,SI,Satisfactoria,Muy Buena,Recepción por correo electrónico,
4/2/2021 12:36:56,SI,SI,NO,Poco satisfactoria,,Descarga de la página web de ATM,"cuando alguien quiere iniciar un tramite por algo especifico que no te permite debería haber una opción de varios para que se puedan realizar las presentaciones por ejemplo en el área de catastro por una omisión de alta, me dice que no lo permite por que mi cuit no esta habilitada"
4/2/2021 12:38:01,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 12:55:56,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 13:20:25,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 13:43:15,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 13:51:19,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,"Deberían especificar que trámite es on line o presencial
"
4/2/2021 14:09:31,NO,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,
4/2/2021 14:10:25,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 15:13:21,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"MUY COMPLETA LA PAGINA, por este reclamo que hice, fui el día 04-02-21, a la sucursal ATM, del Departamento Tunuyán, y un funcionario masculino me atendió de muy mala manera, y me dijo que no se podía hacer nada, que había perdido el dinero del pago erróneo que hice y que tenia que buscar al titular del dominio al que le hice el pago erróneo y que arreglara con el,  para que me devolviera el pago,  luego una funcionaria mujer del mismo lugar me informo que podía reclamar generando un expediente electrónico. Gracias. "
4/2/2021 15:17:27,NO,NO,SI,Satisfactoria,Buena,Entrega en su domicilio real,
4/2/2021 15:24:45,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
4/2/2021 15:29:22,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 15:35:38,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,
4/2/2021 17:05:16,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,"Arreglen tasa cero, no se puede imprimir una vez tramitada. Hay un cartel que aparece y dice que sólo funciona con explorer, no es cierto."
4/2/2021 17:07:28,NO,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
4/2/2021 17:07:44,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,
4/2/2021 17:22:27,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,NO SE PUEDE IMPRIMIR BIEN EL DETALLE DE DEUDA DE INGRESOS BRUTOS 
4/2/2021 17:54:02,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,
4/2/2021 18:05:23,NO,SI,NO,Satisfactoria,Regular,Recepción por correo electrónico,mas didactica e intuituva
4/2/2021 19:34:31,NO,SI,SI,Satisfactoria,Buena,Estoy exceptuado por discapacidad,Muchas gracias por permitirme hacer el trámite por este medio. 
4/2/2021 20:20:32,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"El tiempo que se toman para procesar los pedidos de sellados de ordenes de compra es excesivo, cuando se hacía presencialmente era muchísimo mas eficiente. No entiendo por que un trámite digital puede tardar una semana. "
4/2/2021 20:38:05,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 20:50:27,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,ESPERO PRONTA RESOLUCIÓN DE MI SITUACIÓN
4/2/2021 21:26:08,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 21:58:39,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"SI SERIAN TAN AMABLES DE RESOLVER UN POCO MAS RAPIDOS LOS EXPTES YO TENGO UNO PENDIENTE DESDE NOVIEMBRE DEL 2020 Y AUN NO ESTA INFORMADO.----MIENTRAS QUE LOS LIBRE DEUDA SON BASTANTES AGILES EN ENVIARLOS, ASI QUE EN ESO MIS FELICITACIONES.-"
4/2/2021 23:37:46,NO,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
4/2/2021 23:41:25,NO,NO,NO,Poco satisfactoria,Buena,Recepción por correo electrónico,
5/2/2021 8:24:37,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
5/2/2021 9:15:14,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,en algun tramite la pagina es un poco complicada
5/2/2021 9:34:57,SI,SI,SI,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,
5/2/2021 9:51:20,SI,NO,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
5/2/2021 10:10:28,SI,SI,NO,Satisfactoria,Muy Buena,Descarga de la página web de ATM,los requisitos de los tramites debieran estar claros 
5/2/2021 10:36:39,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
5/2/2021 10:51:14,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
5/2/2021 12:11:06,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
5/2/2021 12:11:32,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,Se debe mejorar y agilizar los exptes de catastro para tener dinamica de trabajo e informacion. (nsit)..
5/2/2021 12:11:33,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,
5/2/2021 12:17:37,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
5/2/2021 12:24:53,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
5/2/2021 12:41:53,SI,SI,SI,Poco satisfactoria,Muy Buena,No me llega a mi domicilio,
5/2/2021 13:17:36,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,muy claros
5/2/2021 14:09:31,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,
5/2/2021 14:32:48,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,
5/2/2021 14:48:38,NO,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
5/2/2021 15:31:40,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
5/2/2021 16:22:16,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"LA RESPUESTA DE TRAMITES NORMALES Y SIMPLES DEBERIA SER DE UNA FORMA MAS RAPIDA, O LA GETSION DE UN PAGO.... LOS TELEFONOS Y CORREOS DE LOS RECAUDADORES DEBERIAN SER DE FACIL ACCESO, A QUE UNO SE CANSA DE LLAMARLOS Y ESCRIBIRLES Y NO ATIENDEN.... SE DEBERIA UNIFICAR LA BOLETA DE DEUDA CON EL NUMERO DE EXPTE DEL JUZGADO, EN EPOCAS DE PANDEMIA DEBERIAMOS AGILIZAR NO ENTORPECER."
5/2/2021 16:34:58,NO,SI,SI,Poco satisfactoria,Buena,Recepción por correo electrónico,
5/2/2021 16:47:34,NO,SI,SI,Poco satisfactoria,Regular,Entrega en su domicilio real,
5/2/2021 16:58:23,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,MAYOR RAPEDEZ EN LA PAGINA - LO DEMAS OK.
5/2/2021 17:44:11,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,QUE ME LLEGUE UN MAIL PARA LOS AVISOS DE PAGO 
5/2/2021 17:51:38,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,No puedo responder con veracidad pregunta 4 hasta no tener respuesta
5/2/2021 19:45:35,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,
5/2/2021 20:32:00,SI,SI,SI,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,
6/2/2021 8:28:43,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,Espero me resuelvan el problema muchas gracias
6/2/2021 8:30:23,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
6/2/2021 10:00:34,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"CREO QUE LA PÁGINA ESTA MUY BUENA, SÓLO QUE NO LA USO DEMASIADO, POR ESO ME RESULTA UN POQUITO COMPLICADA, PERO MIENTRAS MAS LA USO, ME RESULTA MAS CÓMODO Y FÁCIL. ESPERO NO LA MODIFIQUEN"
6/2/2021 11:14:42,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
6/2/2021 11:32:28,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
6/2/2021 13:11:55,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
6/2/2021 15:23:21,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
7/2/2021 11:25:16,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
7/2/2021 13:52:01,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,tal vez mas informacion para los tramites online. 
7/2/2021 22:17:59,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
8/2/2021 9:22:50,SI,SI,SI,Satisfactoria,Regular,Entrega en su domicilio real,
8/2/2021 9:39:44,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 10:08:10,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 10:14:30,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 10:25:42,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 10:27:07,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
8/2/2021 11:15:24,NO,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 11:18:07,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 11:18:12,SI,NO,NO,Satisfactoria,Regular,Recepción por correo electrónico,"La página es realmente muy ""dura"" / podrían modernizarla un poco más y hacerla más intuitiva. Incluso a mi que trabajo con computadoras e internet me resulta tediosa, no quiero imaginar si estos trámites los tuviera que hacer una persona más grande y con menos experiencia en trámites online. El resto, todo perfecto. Gracias por pedir sugerencia hasta luego"
8/2/2021 11:42:21,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 12:32:12,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"El sellado de contrato de alquiler fue mejor el año pasado cuando se llenaba formularios, soy corredora inmobiliaria deberíamos tener un usuario diferente. A principios del año pasado había mas interacción con mensajes con la persona que me atendía, hoy no hay respuesta... cuando se requiere por alguna duda, debería haber mas atención personalizada. Muchas gracias"
8/2/2021 12:42:49,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 13:35:53,SI,NO,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 13:57:38,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 14:16:27,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 14:32:35,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 15:44:54,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 17:08:54,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,me cuesta ingresar a tramites on line a veces da error de java
8/2/2021 17:11:14,NO,SI,NO,Poco satisfactoria,Regular,a,
8/2/2021 17:57:28,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 18:12:53,SI,NO,NO,Poco satisfactoria,Buena,Entrega en su domicilio real,
8/2/2021 18:24:59,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
8/2/2021 18:37:17,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 18:51:06,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 19:23:48,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 19:31:39,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 20:12:55,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Al principio no me resultó simple, luego de varios intentos lo logré. Sugerencia : el sellado es carísimo para vivienda, debería ser  más accesible. "
8/2/2021 20:14:16,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 21:37:51,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"seria bueno que sean mas claras las posibilidades de poder ver deudas y realizar plan de pago. no utilizo la tecnologia, es mas no la entiendo. siempre necesito de ayuda de alguien para poder ver mis comprobantes. gracias"
8/2/2021 22:47:55,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
8/2/2021 22:54:47,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
8/2/2021 22:55:00,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,tengo dinero a favor y otro a abonar y no hay forma de emparejarlo. 
9/2/2021 3:42:17,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 9:19:04,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 9:40:09,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 10:05:25,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,ULTIMAMENTE ESTA MUCHO TIEMPO EN MANTENIMIENTO LA PAGINA ESPECIALMENTE EN LAS FECHA DE VTOS
9/2/2021 10:16:26,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 10:26:46,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 10:27:47,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 10:41:55,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 10:42:55,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 10:45:05,SI,SI,NO,Satisfactoria,Regular,No pago porque no soy propietaria,
9/2/2021 10:56:57,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,No es clara la paǵina en cuanto a realizar ciertos trámites. Está llena de términos contables que el común de la gente no maneja. En mi caso pagué dos veces una cuota de un plan de pago del impuesto automotor y realicé el trámite de acuerdo a lo que me pareció correcto. Sería genial que existiera documentación sobre los procedimientos a seguir.
9/2/2021 10:59:43,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 11:25:53,SI,SI,NO,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"Si bien el sistema de trámites online ha resuelto problemas, la página es muy confusa a la hora de consultar los expedientes."
9/2/2021 11:31:11,SI,SI,NO,Satisfactoria,Regular,Soy contribuyente de CM,
9/2/2021 11:38:18,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,
9/2/2021 11:57:40,SI,SI,SI,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,"Muy extenso el tiempo para que se resuelva un tramite, por ejemplo sellado de un documento de licitación, se pueden perder trabajos por esta demora."
9/2/2021 12:53:09,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 13:01:57,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 13:32:45,NO,SI,SI,Poco satisfactoria,Regular,Voy a ATM porque no me llega,
9/2/2021 13:59:38,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 14:05:35,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 14:36:24,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"he tenido problemas por 1ra vez este año para el sellado de un contrato de locaciòn con el Estado (Municipalidad de Guaymallen) Me envìan x email con el siguiente mensaje que no lo considero claro: ""Se genero la tarea Observa: Tema: Solicitud de Sellado del trámite: EE-4076-2021 Genus, que deberá ser resuelta por Usted"". A continuación intenté resolverlo pero fracasé, con lo cual luego de casi 1 mes lo vuelvo a realizar (PD: en principio pensè que el error mìo fue haber adjuntado archivos .jpg. Entonces dìas despuès de deducir esto adjuntè los mismos documentos en .PDF Pero al dìa de hoy aparece el mismo cartel de OBSERVA. Por lo tanto he resuelto empezar desde CERO con el mismo trámite. slds cordiales
"
9/2/2021 14:46:47,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 15:57:28,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 16:16:30,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
9/2/2021 17:13:59,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 18:14:41,NO,SI,SI,Poco satisfactoria,Buena,Entrega en su domicilio real,
9/2/2021 18:18:52,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 18:55:14,SI,NO,NO,Satisfactoria,Regular,Entrega en su domicilio real,
9/2/2021 19:47:56,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,El instructivo de la pagina de Sellados es incompleto o responde a una pagina que ya ha sido cambiada
9/2/2021 19:49:46,SI,NO,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
9/2/2021 19:54:16,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,quisiera recibir los boletos por mail
9/2/2021 21:44:38,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
9/2/2021 22:37:52,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
10/2/2021 8:09:54,SI,SI,NO,Satisfactoria,Regular,bolsa de comercio,
10/2/2021 8:59:24,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
10/2/2021 9:30:51,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
10/2/2021 9:50:17,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,informar telefonos habilitados para catastro  y avaluos para sellos para consultas urgentes ya que el tramite on line demora varios dias  tel 148  interno 1 siempre esta ocupado 
10/2/2021 10:18:20,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Una vez que el expediente queda en manos del inspector, ya no se puede agregar nada por cuanto el expediente puede ""dormir"" sin que se nos brinde una respuesta."
10/2/2021 10:40:39,SI,NO,NO,Satisfactoria,Regular,Descarga de la página web de ATM,"Cuesta mucho encontrar lo que se busca, debería ser más clara y accesible la página"
10/2/2021 11:21:20,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,muy costoso consegui las certificaciones
10/2/2021 11:37:40,SI,SI,SI,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,
10/2/2021 11:40:55,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
10/2/2021 11:46:17,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
10/2/2021 12:01:27,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
10/2/2021 12:13:28,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
10/2/2021 13:12:40,SI,SI,SI,Satisfactoria,Muy Buena,Recepción por correo electrónico,
10/2/2021 13:20:50,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
10/2/2021 13:21:19,SI,SI,SI,Nada satisfactoria,Regular,Descarga de la página web de ATM,mi trámite fue cursado tal que no sé si será resuelto  y la pregunta 4 no lo prevé. Por eso indico nada satisfactoria
10/2/2021 13:42:49,SI,NO,SI,Poco satisfactoria,Mala,Descarga de la página web de ATM,No es posible la comunicación de pasos a seguir o requisitos de tramites.
10/2/2021 13:50:43,SI,SI,SI,Nada satisfactoria,Mala,Descarga de la página web de ATM,QUE PORFAVOR REVISEN SUS REGISTROS POR QUE FIGURAN DEUDAS QUE NO EXISTEN
10/2/2021 14:18:29,SI,SI,NO,Nada satisfactoria,Regular,Descarga de la página web de ATM,son unos caraduras el aumento para 2021. 
10/2/2021 14:41:41,SI,SI,SI,Nada satisfactoria,Regular,Descarga de la página web de ATM,"El personal administrativo, no se encuentra capacitado para atención mediante ventanilla, como así tampoco lo están en el sector remoto (online), toda vez que no resuelven las consultas, sino que las archivan sin dar solución.-"
10/2/2021 14:47:22,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,Es demasiada básica la pagina y no se puede realizar ninguna corrección en mis tramites on line o  hacer algun comentario o pregunta a la persona que debe resolver
10/2/2021 16:00:10,NO,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
10/2/2021 17:00:12,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
10/2/2021 17:07:15,SI,NO,SI,Satisfactoria,Buena,Recepción por correo electrónico,
