ID,Edad,Experiencia,Ingresos,Codigo Postal,Familiares,Promedio Gastos,Educacion,Hipotecas,Prestamos,Activos Financieros,Online,Tarjeta
64,42,17,320000,94523,4,0.00,Graduado,0,No,No,Si,No
65,47,23,1050000,90024,2,3.30,No graduado,0,No,No,No,No
66,59,35,1310000,91360,1,3.80,No graduado,0,No,No,Si,Si
67,62,36,1050000,95670,2,2.80,No graduado,336,No,No,No,No
68,53,23,450000,95123,4,2.00,Profesional,132,No,Si,No,No
69,47,21,600000,93407,3,2.00,No graduado,0,No,No,Si,Si
70,53,29,200000,90045,4,0.20,No graduado,0,No,No,Si,No
71,42,18,1150000,91335,1,3.50,No graduado,0,No,No,No,Si
72,53,29,690000,93907,4,1.00,Graduado,0,No,No,Si,No
73,44,20,1300000,92007,1,5.00,No graduado,0,No,No,No,Si
74,41,16,850000,94606,1,4.00,Profesional,0,No,No,Si,Si
75,28,3,1350000,94611,2,3.30,No graduado,0,No,No,No,Si
76,31,7,1350000,94901,4,3.80,Graduado,0,Si,No,Si,Si
77,58,32,120000,91320,3,0.30,Profesional,0,No,No,No,No
78,46,20,290000,92220,3,0.50,Graduado,0,No,No,No,No
79,54,30,1330000,93305,2,2.60,Profesional,0,Si,No,No,No
80,50,26,190000,94720,2,0.40,No graduado,118,No,No,Si,No
81,60,36,410000,95134,4,1.30,No graduado,174,No,No,Si,Si
82,47,22,400000,94612,3,2.70,Graduado,0,No,No,Si,No
83,41,16,820000,92507,1,4.00,Profesional,0,No,No,Si,No
84,33,9,500000,94305,1,2.40,Graduado,0,No,No,No,No
85,46,22,180000,91730,1,0.90,Profesional,0,No,No,Si,No
86,27,2,1090000,94005,4,1.80,Profesional,0,No,No,No,No
87,40,16,420000,94501,4,2.20,Graduado,126,No,No,No,No
88,48,22,780000,94305,3,1.70,No graduado,0,No,No,Si,No
89,65,41,510000,94117,2,1.70,No graduado,0,No,No,Si,No
90,25,-1,1130000,94303,4,2.30,Profesional,0,No,No,No,Si
91,55,30,1180000,90277,4,5.60,Graduado,0,Si,No,Si,No
92,35,10,290000,94105,4,1.70,Profesional,0,No,No,Si,No
93,43,19,340000,94305,3,0.60,Graduado,0,No,No,No,No
94,60,34,640000,94550,2,1.70,Profesional,236,No,Si,Si,No
95,65,39,1210000,92612,1,2.00,No graduado,0,No,No,No,No
96,38,12,480000,95617,4,0.20,Profesional,0,No,No,Si,No
97,41,15,800000,95014,1,5.20,No graduado,0,No,No,No,No
98,54,28,1610000,92121,1,2.90,No graduado,0,No,No,Si,No
99,49,23,940000,92374,1,0.30,No graduado,0,No,No,Si,No
100,66,41,150000,91711,3,0.10,Profesional,0,No,No,Si,No
101,48,23,740000,94080,1,1.20,No graduado,0,No,No,Si,No
102,61,36,300000,94608,3,1.30,Graduado,0,No,No,No,No
103,53,23,440000,93555,3,1.00,Profesional,198,No,No,Si,Si
104,43,18,220000,95670,2,0.30,Graduado,0,No,No,Si,No
105,56,32,380000,93311,4,1.30,No graduado,166,No,No,Si,Si
106,24,0,350000,94704,3,0.10,Graduado,0,No,Si,Si,No
107,43,17,690000,92717,4,2.90,No graduado,0,No,No,Si,Si
108,42,18,430000,92037,1,0.70,No graduado,136,No,No,No,No
109,33,7,320000,95136,1,0.60,Profesional,166,No,No,Si,No
110,43,17,490000,94542,1,2.80,No graduado,0,No,No,Si,No
111,41,14,90000,91330,3,1.00,Graduado,0,No,No,No,No
112,62,38,450000,94143,4,1.30,Graduado,0,No,No,Si,No
113,40,15,820000,91775,3,1.00,No graduado,309,No,No,No,No
114,58,34,920000,92703,2,2.80,No graduado,103,No,No,No,No
115,39,14,390000,92354,3,0.50,Profesional,0,No,No,Si,No
116,65,40,810000,92024,3,1.80,Graduado,0,No,No,Si,No
117,54,29,350000,92831,1,1.50,Graduado,0,No,No,Si,No
118,58,33,610000,92833,2,2.30,Profesional,193,No,No,Si,No
119,41,16,730000,92647,3,3.00,No graduado,0,No,No,Si,No
120,32,7,1120000,94304,1,4.60,No graduado,366,No,No,No,No
121,54,29,120000,90057,2,0.20,Profesional,0,No,No,Si,No
122,52,26,380000,91711,3,0.90,Profesional,0,No,No,Si,No
123,58,32,730000,94523,2,0.70,Graduado,0,No,No,Si,Si
124,37,13,840000,92130,1,3.60,Graduado,0,No,Si,No,No
125,39,15,780000,92121,4,2.40,No graduado,118,No,No,Si,No
126,60,35,800000,91301,3,0.50,No graduado,0,No,No,Si,No
127,31,5,1150000,92096,2,1.30,No graduado,101,No,No,Si,Si
128,34,8,820000,92646,1,2.70,Graduado,251,No,No,Si,No
129,38,14,740000,92182,2,0.00,No graduado,0,No,Si,Si,No
130,41,16,700000,92131,3,0.50,Profesional,0,No,No,No,Si
131,28,4,810000,94801,3,1.50,No graduado,276,No,No,Si,No
132,58,34,1490000,93720,4,7.20,Graduado,0,Si,No,Si,Si
133,31,1,510000,90840,2,1.75,Profesional,0,No,No,No,No
134,30,4,390000,90245,3,1.10,Graduado,0,No,No,Si,No
135,53,29,980000,95035,3,1.80,Graduado,0,No,No,No,No
136,58,33,450000,93010,4,2.10,No graduado,0,No,No,Si,Si
137,59,32,490000,95035,4,2.50,Graduado,0,No,No,Si,No
138,49,25,1280000,95054,2,0.40,No graduado,0,No,No,No,No
139,59,34,420000,94928,3,1.50,No graduado,0,No,Si,No,Si
140,59,35,180000,93305,1,1.20,Profesional,0,No,No,Si,No
141,51,25,310000,90245,2,0.40,Profesional,161,No,No,Si,Si
142,35,11,580000,95831,3,2.00,No graduado,149,No,No,Si,Si
143,33,9,480000,91770,1,2.10,Profesional,0,No,No,No,Si
144,25,1,540000,94117,4,1.60,No graduado,0,No,No,Si,Si
145,49,23,700000,92093,2,1.50,Graduado,0,No,No,No,No
146,59,35,1240000,90007,1,7.40,No graduado,0,No,No,No,Si
147,46,19,840000,94102,1,2.67,Graduado,0,No,No,Si,Si
148,50,25,830000,94542,4,3.60,Profesional,188,No,No,Si,No
149,52,28,1630000,91423,2,0.40,No graduado,116,No,No,Si,No
150,48,22,420000,93955,3,2.20,Graduado,0,No,No,No,No
151,46,22,1180000,94107,2,7.50,No graduado,0,No,No,Si,Si
152,26,0,1320000,92834,3,6.50,Profesional,0,Si,No,No,Si
153,57,32,240000,93117,1,1.30,No graduado,0,No,No,Si,Si
154,60,36,220000,94551,2,1.00,No graduado,0,No,Si,Si,Si
155,54,29,580000,92612,4,1.30,Profesional,0,No,No,No,No
156,24,0,600000,94596,4,1.60,No graduado,0,No,No,Si,No
157,26,0,150000,92131,4,0.40,No graduado,0,No,No,No,Si
158,41,17,830000,94025,4,2.67,No graduado,0,No,No,Si,Si
159,32,6,790000,94720,2,1.50,Profesional,0,No,No,Si,Si
160,61,35,410000,94545,4,1.70,Graduado,0,No,Si,Si,No
161,29,0,1340000,95819,4,6.50,Profesional,0,Si,No,No,No
162,61,35,800000,95053,2,2.80,No graduado,0,No,No,Si,No
163,38,12,520000,90036,1,2.00,No graduado,0,No,No,No,No
164,28,4,700000,91125,4,2.60,No graduado,0,No,No,Si,No
165,53,27,920000,95120,2,1.10,No graduado,0,No,Si,No,No
166,27,1,430000,94706,1,1.50,No graduado,0,No,No,Si,No
167,25,1,210000,95827,3,1.00,Graduado,0,No,No,No,No
168,33,9,230000,94305,3,0.90,Profesional,0,No,No,Si,Si
169,50,26,130000,91320,4,1.00,No graduado,0,No,No,Si,No
170,27,1,1120000,90503,4,2.10,Profesional,0,No,No,No,Si
171,27,1,1380000,90250,2,2.00,No graduado,0,No,No,Si,No
172,52,28,110000,95817,3,0.40,No graduado,0,No,Si,No,No
173,38,13,1710000,92717,2,7.80,No graduado,0,No,No,Si,No
174,58,34,420000,90095,4,1.50,No graduado,0,No,No,Si,Si
175,42,17,1680000,95503,2,7.90,Graduado,0,Si,No,Si,No
176,45,20,850000,91711,4,1.10,Graduado,0,No,Si,Si,No
177,52,25,440000,93111,3,1.00,Graduado,135,No,No,Si,No
178,29,3,650000,94132,4,1.80,Graduado,244,No,No,No,No
179,53,29,240000,95818,4,0.20,No graduado,0,No,No,Si,Si
180,62,37,110000,91942,1,0.10,No graduado,0,No,No,Si,No
181,51,27,380000,90401,2,1.00,Profesional,164,No,No,Si,No
182,36,12,100000,93524,4,0.70,Graduado,81,No,No,No,No
183,24,0,1350000,95133,1,1.50,No graduado,0,No,No,Si,No
184,29,3,1480000,92173,3,4.10,No graduado,0,Si,No,Si,No
185,52,26,630000,92717,2,1.50,Graduado,0,No,Si,Si,No
186,39,14,1150000,91320,1,1.00,Profesional,0,No,No,Si,No
187,48,23,450000,95616,1,0.30,No graduado,0,No,No,Si,Si
188,46,21,1590000,94305,3,1.90,Profesional,315,Si,No,Si,No
189,64,40,1690000,91320,2,2.10,No graduado,122,No,No,Si,No
190,55,29,1120000,94043,2,1.40,No graduado,0,No,No,Si,No
191,60,36,930000,92521,1,4.30,No graduado,0,No,No,Si,No
192,51,25,290000,90404,1,0.30,Profesional,140,No,No,No,No
193,50,23,850000,92122,1,2.67,Graduado,0,No,No,Si,No
194,48,24,210000,93118,4,0.60,No graduado,0,No,No,Si,Si
195,53,29,1440000,92697,2,6.80,No graduado,0,No,No,Si,No
196,34,10,130000,94577,4,1.00,No graduado,95,No,Si,Si,No
197,48,24,1650000,93407,1,5.00,No graduado,0,No,No,No,Si
198,55,31,90000,91345,4,0.70,No graduado,89,No,No,Si,No
199,27,3,590000,94123,4,0.00,No graduado,90,No,Si,Si,No
200,36,11,1580000,92152,1,5.10,Profesional,0,Si,No,Si,Si
201,32,6,290000,91355,1,1.90,Profesional,0,No,No,Si,Si
202,35,9,200000,94609,2,1.40,Profesional,0,No,No,Si,Si
203,30,3,680000,94306,4,2.00,Graduado,0,No,No,Si,No
204,58,34,650000,95747,4,2.20,No graduado,0,No,No,Si,No
205,56,31,610000,96150,2,1.90,Graduado,105,No,No,No,No
206,38,12,910000,95616,4,1.40,Graduado,100,No,No,No,Si
207,49,25,310000,91355,1,1.00,No graduado,0,No,Si,Si,No
208,34,10,710000,94115,4,0.10,Graduado,0,No,No,No,No
209,40,16,730000,94110,4,2.67,No graduado,0,No,No,Si,Si
210,64,39,1720000,94707,4,3.10,No graduado,282,Si,No,Si,Si
211,51,26,200000,92131,2,0.00,No graduado,0,No,No,No,No
212,44,18,550000,94720,1,0.20,No graduado,0,No,No,No,No
213,46,22,690000,91604,2,1.70,No graduado,209,No,No,No,No
214,57,33,1550000,91326,1,7.40,No graduado,0,No,No,Si,No
215,54,28,940000,90291,1,1.90,Graduado,0,No,No,No,No
216,38,14,920000,95818,2,0.00,No graduado,249,No,No,Si,Si
217,27,3,1250000,95521,2,0.60,No graduado,0,No,No,No,No
218,39,14,740000,94305,3,3.00,No graduado,0,No,No,No,No
219,44,20,720000,92807,3,0.30,Profesional,0,No,No,Si,No
220,56,30,610000,94707,1,2.20,Profesional,0,No,No,Si,Si
221,32,6,250000,92130,2,0.30,No graduado,0,No,No,No,Si
222,45,19,830000,95051,2,1.70,Graduado,0,No,No,Si,No
223,26,2,1040000,94306,3,2.50,No graduado,0,No,No,No,No
224,55,25,410000,95014,3,1.00,Profesional,0,No,No,Si,No
225,52,27,580000,94305,4,1.80,Profesional,91,No,No,No,No
226,39,13,930000,94720,1,1.50,Profesional,0,No,No,No,Si
227,24,-1,390000,94085,2,1.70,Graduado,0,No,No,No,No
228,47,23,1480000,94551,2,7.50,No graduado,0,No,No,Si,Si
229,47,22,530000,92677,4,1.90,Profesional,98,No,Si,No,Si
230,48,24,710000,93117,2,1.70,No graduado,145,No,No,No,Si
231,47,22,920000,94720,1,2.80,Graduado,0,No,No,Si,No
232,35,10,610000,94304,4,2.10,Profesional,0,No,No,Si,No
233,46,19,380000,94122,3,2.50,Graduado,135,No,No,No,No
234,62,37,580000,91320,4,1.70,No graduado,0,No,No,Si,No
235,26,1,800000,95616,1,0.80,Graduado,150,No,No,No,No
236,38,8,710000,94720,4,1.80,Profesional,0,No,No,Si,No
237,43,18,890000,93407,3,0.50,Profesional,0,No,No,Si,Si
238,62,38,830000,92521,1,1.80,Profesional,0,No,No,Si,No
239,57,32,280000,95831,3,0.20,No graduado,0,No,No,Si,Si
240,28,3,520000,94112,4,1.70,Graduado,0,No,No,No,No
241,51,26,700000,90089,1,1.20,No graduado,169,No,No,No,No
242,48,22,710000,91711,1,1.40,Profesional,0,No,No,No,Si
243,41,16,750000,94005,1,3.70,Profesional,280,No,No,No,No
244,65,39,1700000,90095,3,7.90,Profesional,99,Si,No,Si,No
245,41,17,780000,94025,4,0.80,No graduado,78,No,No,Si,No
246,35,11,250000,92614,2,1.00,Graduado,0,No,No,No,No
247,38,14,600000,94025,2,0.60,Profesional,0,No,No,Si,Si
248,53,29,1200000,92626,4,2.70,Graduado,111,Si,Si,Si,No
249,55,29,990000,92121,2,1.40,No graduado,264,No,No,Si,Si
250,26,1,550000,90089,3,2.60,Profesional,113,No,No,No,Si
251,30,6,290000,94305,3,1.00,Graduado,117,No,No,No,No
252,54,28,1700000,92182,2,6.20,Graduado,325,Si,No,Si,No
253,65,40,530000,91711,3,2.20,No graduado,0,No,No,No,Si
254,47,21,1380000,94583,1,0.00,No graduado,0,No,No,No,No
255,65,41,1340000,91942,3,3.90,Profesional,121,Si,No,Si,No
256,66,40,420000,92103,2,0.70,Profesional,138,No,No,No,Si
257,26,0,990000,92697,4,2.30,Profesional,0,No,No,No,Si
258,66,41,180000,92691,3,0.50,No graduado,0,No,No,No,Si
259,35,9,240000,95747,4,0.30,No graduado,0,No,No,Si,No
260,56,30,550000,94107,1,1.40,No graduado,77,No,No,Si,No
261,51,27,580000,92407,1,0.00,No graduado,0,No,No,No,Si
262,42,16,1110000,93106,2,1.20,Profesional,251,Si,No,Si,No
263,49,23,330000,90245,1,0.30,Profesional,0,No,No,Si,Si
264,27,1,740000,92121,4,1.80,Graduado,112,No,No,Si,Si
265,45,19,380000,90840,2,0.70,No graduado,0,No,No,No,No
266,49,23,230000,94305,4,0.60,Profesional,98,No,Si,No,No
267,63,38,610000,94720,2,1.50,No graduado,0,No,No,Si,No
268,47,22,810000,90504,1,2.90,No graduado,138,No,No,No,No
269,64,39,1290000,94002,1,2.50,No graduado,0,No,No,Si,No
270,43,13,330000,95039,1,0.75,Profesional,0,No,No,No,No
271,60,36,630000,94063,4,2.20,No graduado,0,No,No,Si,No
272,40,14,700000,94923,4,1.40,Graduado,0,No,No,Si,No
273,29,3,450000,95023,4,0.20,No graduado,158,No,No,Si,Si
274,41,16,650000,90095,3,0.50,Profesional,0,No,No,Si,No
275,30,5,740000,95616,4,2.20,No graduado,0,No,Si,No,Si
276,49,24,500000,94706,4,1.80,Profesional,0,No,Si,No,No
277,30,5,220000,90058,4,0.50,Profesional,109,No,No,Si,No
278,29,2,300000,92126,4,1.00,Profesional,0,No,No,No,No
279,50,26,210000,91125,4,1.00,No graduado,0,No,No,Si,No
280,39,14,1550000,94577,2,3.90,No graduado,0,No,No,Si,No
281,33,8,640000,92121,4,2.10,Profesional,164,No,No,Si,No
282,57,31,650000,94118,4,2.60,Profesional,0,No,No,No,Si
283,34,9,710000,91711,4,0.70,Profesional,0,No,No,Si,No
284,61,36,400000,90029,3,0.50,Graduado,0,No,Si,Si,No
285,44,19,690000,92806,3,0.50,Profesional,0,No,No,Si,No
286,40,13,690000,94305,3,2.33,Graduado,0,No,No,No,No
287,51,25,450000,94806,3,0.60,Graduado,131,No,No,Si,No
288,37,12,620000,92110,3,0.70,Graduado,0,No,No,No,Si
289,44,19,1720000,94306,2,4.30,Profesional,391,Si,Si,Si,No
290,42,15,240000,92121,3,1.00,Graduado,0,No,No,Si,Si
291,51,25,800000,92373,1,4.90,No graduado,0,No,No,No,No
292,43,16,80000,90089,3,0.67,Graduado,88,No,No,Si,No
293,30,5,380000,94542,4,0.80,No graduado,129,No,No,Si,Si
294,45,19,930000,90095,4,2.60,Profesional,0,No,No,No,No
295,35,9,550000,94536,1,2.00,No graduado,0,No,No,Si,No
296,60,34,640000,94304,2,1.70,Profesional,0,No,No,No,Si
297,34,9,1220000,90623,1,0.00,No graduado,0,No,No,Si,No
298,55,25,700000,93720,3,1.40,Profesional,0,No,No,Si,No
299,43,19,810000,92069,2,3.20,No graduado,0,No,No,No,No
300,41,15,1590000,90057,1,5.50,Profesional,0,Si,No,Si,No
301,34,9,700000,92843,4,1.30,No graduado,0,No,Si,No,No
302,65,39,1500000,92120,2,6.90,No graduado,196,No,No,No,No
303,45,21,1520000,94550,2,7.50,No graduado,0,No,No,Si,No
304,49,25,1950000,95605,4,3.00,No graduado,617,Si,No,No,No
305,48,23,220000,90740,1,0.10,No graduado,0,No,No,No,No
306,60,35,220000,91207,1,1.30,No graduado,123,No,No,Si,No
307,55,29,790000,92373,3,0.80,No graduado,0,No,No,Si,Si
308,42,18,330000,90401,1,1.40,Profesional,0,No,No,Si,No
309,32,8,1280000,94720,2,4.33,No graduado,0,No,No,Si,Si
310,62,38,910000,95929,1,3.80,No graduado,0,No,Si,Si,No
311,57,32,390000,90277,4,0.90,No graduado,0,No,No,Si,Si
312,52,26,1210000,94550,1,7.30,No graduado,167,No,No,Si,No
313,36,6,210000,91741,1,0.67,Profesional,0,No,Si,Si,No
314,34,9,410000,93720,3,2.30,No graduado,0,No,No,No,Si
315,63,37,450000,93437,2,0.70,Profesional,0,No,No,Si,No
316,24,-2,510000,90630,3,0.30,Profesional,0,No,No,Si,No
317,57,31,1650000,95054,1,1.60,Graduado,0,Si,No,Si,No
318,40,16,1190000,91335,2,4.20,Graduado,0,Si,No,Si,No
319,27,2,1100000,95670,4,1.80,Profesional,190,No,No,Si,No
320,65,39,200000,90034,3,0.70,Graduado,0,No,No,No,Si
321,60,34,640000,90266,1,0.80,Graduado,248,No,No,No,No
322,44,20,1010000,92717,3,4.40,Graduado,82,Si,No,No,No
323,63,39,1010000,92007,1,3.90,No graduado,0,Si,Si,Si,No
324,59,34,990000,90034,1,4.40,No graduado,0,Si,No,No,No
325,56,30,1580000,90089,4,6.10,No graduado,0,Si,No,No,No
326,54,28,890000,95039,1,1.90,Graduado,0,No,No,Si,Si
327,52,27,800000,95616,1,1.30,Profesional,0,No,No,Si,Si
328,58,32,1140000,91330,2,2.00,No graduado,402,No,No,Si,No
329,60,35,490000,94110,3,0.50,Graduado,0,No,No,Si,Si
330,28,4,1910000,90064,1,6.33,No graduado,0,No,No,Si,No
331,54,30,780000,92374,4,1.00,Graduado,0,No,No,Si,No
332,32,6,280000,94115,3,1.00,No graduado,0,No,No,No,No
333,59,33,420000,95630,1,0.80,Graduado,0,No,No,Si,No
334,63,38,1400000,92407,1,2.50,No graduado,0,No,No,No,No
335,48,23,450000,95053,1,1.30,Graduado,0,No,No,Si,No
336,56,32,1220000,95827,2,0.30,No graduado,360,No,No,Si,Si
337,36,12,650000,95051,3,2.60,Graduado,0,No,No,Si,No
338,57,27,680000,94117,1,1.40,Profesional,0,No,No,Si,No
339,29,3,1530000,93657,2,2.00,No graduado,392,No,No,No,No
340,39,13,890000,92110,4,1.40,Graduado,0,No,No,No,No
341,59,34,910000,93524,1,2.60,No graduado,0,No,No,Si,Si
342,31,6,550000,92038,4,2.00,Graduado,185,No,No,Si,No
343,43,19,1180000,91304,2,3.30,No graduado,0,No,No,No,Si
344,35,5,220000,93407,1,0.67,Profesional,103,No,No,No,No
345,54,24,630000,92606,3,1.40,Profesional,138,No,No,Si,Si
346,51,27,120000,92192,4,0.50,Graduado,78,No,Si,Si,No
347,44,19,500000,90745,3,2.70,Graduado,0,No,No,Si,No
348,25,0,430000,94305,2,1.60,Profesional,0,No,Si,Si,Si
349,40,15,1730000,95060,4,6.60,No graduado,0,Si,No,Si,Si
350,26,2,600000,93407,2,3.00,No graduado,132,Si,No,No,No
351,39,14,1130000,94301,1,1.00,Profesional,0,No,Si,Si,No
352,28,4,1550000,92182,4,5.30,Graduado,0,Si,No,Si,No
353,52,28,910000,92692,4,1.00,Graduado,0,No,No,No,Si
354,53,29,550000,95818,4,1.10,Graduado,0,No,No,Si,No
355,44,20,1730000,90277,2,1.40,No graduado,419,No,No,Si,No
356,43,19,710000,92101,3,0.30,Profesional,0,No,No,No,Si
357,56,30,240000,94704,2,0.40,Profesional,88,No,No,No,No
358,38,14,420000,94610,1,2.00,Graduado,81,No,No,Si,No
359,30,6,1410000,94539,2,4.33,No graduado,0,No,No,Si,No
360,32,6,320000,93106,1,1.90,Profesional,0,No,No,Si,No
361,35,10,550000,94539,4,1.30,No graduado,0,No,No,No,No
362,43,19,1530000,90254,2,7.50,No graduado,0,No,No,Si,No
363,58,32,1130000,94590,2,1.40,No graduado,270,No,No,No,Si
364,25,0,300000,92691,2,1.70,Graduado,0,No,No,No,No
365,54,24,290000,92028,3,1.00,Profesional,148,No,No,No,Si
366,57,32,1740000,90089,1,6.80,Graduado,466,Si,No,Si,No
367,50,24,350000,92717,1,0.30,Profesional,0,No,No,Si,No
368,32,8,980000,95054,2,2.00,Graduado,175,No,No,Si,No
369,63,37,300000,92054,2,1.00,Profesional,159,No,No,Si,No
370,31,6,580000,95051,2,2.50,No graduado,0,No,No,No,Si
371,36,12,250000,92101,4,1.00,No graduado,147,No,No,No,No
372,58,34,190000,92029,4,0.70,No graduado,0,No,No,No,No
373,56,30,440000,93105,4,0.70,Graduado,174,No,No,Si,No
374,49,25,200000,90291,4,1.00,No graduado,111,No,No,Si,Si
375,30,5,980000,91941,2,3.10,No graduado,220,No,No,Si,No
376,33,7,900000,92346,3,1.60,No graduado,0,No,No,Si,No
377,45,21,610000,94304,3,0.70,No graduado,0,No,No,No,No
378,30,5,400000,94402,4,2.00,Graduado,0,No,No,Si,No
379,47,23,380000,94618,2,2.10,Profesional,0,No,No,No,No
380,25,0,280000,92093,2,1.70,Graduado,0,No,No,No,No
381,63,33,340000,94305,1,1.50,Profesional,0,No,No,Si,Si
382,55,29,730000,95616,2,2.30,Profesional,0,No,No,Si,Si
383,65,41,1330000,94904,4,2.00,No graduado,0,Si,No,No,Si
384,44,18,530000,94608,1,0.20,No graduado,0,No,No,Si,No
385,51,25,210000,9307,4,0.60,Profesional,0,No,No,Si,Si
386,35,9,400000,93943,3,0.90,No graduado,0,No,No,Si,No
387,30,5,410000,95051,4,1.70,Graduado,0,No,No,Si,No
388,31,5,820000,95482,4,1.80,Graduado,0,No,No,Si,No
389,54,30,1000000,95814,4,3.40,Profesional,0,Si,No,No,No
390,45,20,1550000,90024,1,7.00,No graduado,0,No,No,Si,Si
391,45,19,450000,92521,1,0.20,No graduado,0,No,No,Si,No
392,58,32,90000,94080,3,0.30,Profesional,0,No,No,No,Si
393,54,29,480000,91709,4,1.80,Profesional,0,No,No,Si,No
394,53,28,180000,90095,4,0.10,Profesional,109,No,Si,Si,Si
395,33,9,800000,91311,4,3.40,No graduado,0,No,No,Si,Si
396,60,35,640000,94509,2,2.80,No graduado,0,No,No,No,No
397,50,24,290000,93023,4,0.10,No graduado,0,No,No,No,No
398,26,2,480000,90503,3,0.70,Graduado,0,No,No,Si,No
399,54,30,230000,94608,2,0.40,No graduado,0,No,No,No,No
400,28,3,840000,90024,4,0.20,No graduado,0,No,No,Si,Si
401,36,10,1790000,94542,3,6.60,No graduado,0,Si,No,Si,No
402,29,2,300000,95747,4,1.50,Graduado,112,No,No,No,Si
403,54,28,930000,91604,1,4.90,No graduado,133,No,No,Si,Si
