Marca temporal,1. Utiliza habitualmente la página web de ATM,2. Le resultó simple la creación de su cuenta en Mis Trámites,3. Le resulta comprensible la sección de Mis Trámites,4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:,5. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2020 lo obtuvo por:,Agregue aquí su sugerencia
30/12/2020 10:57:58,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"sugiero que se solucione la actualización de los cambios de titularidad de los contribuyentes, ya que yo hice el trámite de cambio de titularidad por mis tramites web, y no impactó en el sistema, motivo por el cual tuve que concurrir en forma presencial a solucionar el inconveniente, además soy escribana, y tenemos todos los colegas problemas con los cambios de titularidad del impuesto inmobiliario cuando se transfieren propiedades, nuestros clientes nos reclaman siempre que les llega el impuesto inmobiliario a nombre del titular anterior, y tienen que concurrir personalmente con la copia de la escritura para que les hagan el cambio, cuando Catastro tiene conocimiento del cambio por el certificado catastral además ATM tiene acceso a la información del Registro de la Propiedad, que si estuvieran sincronizados podrían efectuar el cambio en forma simultanea, y se evitaría el inconveniente que tienen los contribuyentes con la titularidad de sus impuestos"
30/12/2020 10:23:15,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
30/12/2020 10:07:31,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
30/12/2020 8:55:16,SI,SI,SI,Poco satisfactoria,Buena,Recepción por correo electrónico,mayor celeridad en la respuesta de expedientes
29/12/2020 18:57:51,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 18:38:22,NO,SI,NO,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,
29/12/2020 17:46:05,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 17:35:23,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"seria importante comunicarse por medio de una sala de chat para resolver consultas mas aceleradas, debido a que por mail o telefonicamente no son resueltas a la brevedad"
29/12/2020 16:47:14,NO,SI,SI,Satisfactoria,Regular,No saqué boleto para pagar el año 2020,
29/12/2020 16:39:02,SI,SI,NO,Poco satisfactoria,Regular,no lo he solicitado,las respuesta de los agentes es lenta y no se entiende bien cuando está respondida
29/12/2020 16:33:53,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
29/12/2020 16:25:26,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Sigan mejorando
29/12/2020 16:21:17,SI,SI,SI,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 14:55:48,NO,SI,NO,Satisfactoria,Regular,No estaba en mi  nombre el automotor ,
29/12/2020 14:39:17,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 13:57:22,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,que te manden las boletas por mail (por mas que estoy adherido no lo hace) y podrian contestar el telefono en atm...
29/12/2020 13:35:47,SI,NO,SI,Satisfactoria,Regular,Descarga de la página web de ATM,"la información sobre el manejo del sistema web generalmente está desactualizada y no es de fácil acceso, por ejemplo preguntas frecuentes de MUM"
29/12/2020 12:53:09,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 12:36:51,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
29/12/2020 12:19:08,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 11:52:33,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"MEJORAR LA ATENCION TELEFONICA, HAY CIERTOS RECLAMOS QUE SOLO SE PUEDEN SOLUCIONAR LLAMANDO PERO NO ATIENDEN NUNCA."
29/12/2020 11:42:44,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 11:40:13,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 11:38:11,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
29/12/2020 11:32:52,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 11:23:39,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 11:15:33,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,"Buenos días, les sugiero que revisen la ventana emergente que aparece cuando uno termina de sellar y nos invita a hacer la encuesta, dice ""PRECIONE AQUI"", es una falta ortográfica grave. Saludos, espero haber sido de ayuda."
29/12/2020 11:09:14,NO,SI,SI,Satisfactoria,Muy Buena,el contador,"En cuanto a la pagina me parece que esta bien tiene un buen formato y facil de lectura, lo unico que me gustaria saber los tiempos de respuesta, paso anteriormente que deje comentarios y nunca fueron contestados. "
29/12/2020 10:54:48,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 10:47:46,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 10:47:09,SI,SI,SI,Poco satisfactoria,Mala,Recepción por correo electrónico,"la pagina es confusa, los datos no coinciden."
29/12/2020 10:39:46,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 10:36:24,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 10:27:11,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
29/12/2020 10:18:43,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 9:59:22,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
29/12/2020 8:51:02,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,ANALIZAR LA POSIBILIDAD DE QUE LA RESPUESTA SEA MAS RAPIDA 
28/12/2020 22:56:22,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
28/12/2020 22:54:21,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
28/12/2020 22:54:07,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
28/12/2020 22:53:58,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
28/12/2020 22:11:34,NO,SI,SI,Muy satisfactoria,Muy Buena,Estoy solicitando la exención por discapacidad tema que no había hecho con anterioridad cuando me diagnosticaron la misma.,Muchas gracias por tener esta alternativa ya que tengo problemas de trasladarme a Mendoza actualmente.
28/12/2020 21:53:16,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 21:47:36,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 21:35:02,SI,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,
28/12/2020 21:16:54,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,"agilizar la forma de entrada a los tramites varios y caratulas, y hacerlo demanera más clara y rápida."
28/12/2020 20:27:57,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 20:14:37,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 18:48:17,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 18:31:10,SI,SI,SI,Poco satisfactoria,Regular,Recepción por correo electrónico,deberían enseñar a usar mejor la pagina los sellos me los observaban muy segido y x ahi es que falto un paso y no nos damos cuenta gracias 
28/12/2020 18:13:45,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 16:54:29,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 16:33:19,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 16:09:22,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,Es muy malo el servicio de expediente electrónico. Archivan expedientes con trámites sin resolver y/o finalizar.  No contestan consultas. Se genera una carátula con cada presentación. Una burocracia informática sin sentido ni respuestas eficaz.
28/12/2020 16:00:25,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
28/12/2020 15:31:49,SI,SI,NO,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 15:23:55,SI,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
28/12/2020 15:23:53,NO,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,"Los menús no son amigables y los caminos a seguir son ambiguos. Deberían haber cuadros emergentes con información acerca de cada sección o campo y con un ejemplo si fuera necesario. Me demoré muchísimo tratando de saber si el sellado del contrato se hacía por ""trámites"" o ""trámites online"".  Al final, lo hice por trámites online y parece que funcionó, aún no lo sé. 
Yo trabajo con sistemas informáticos, y me costó bastante. Por lo cual, a una persona que no esté en mucho contacto con este tipo de plataformas, le puede resultar muy confuso. 
Mi comentario no es una crítica, es para contribuir a que se mejore el sitio web, pues eso hará que las personas no tengan que contratar a terceros para que les hagan sus trámites,  y así podrán cumplir con los compromisos de ATM de forma más fácil."
28/12/2020 15:07:55,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 14:52:58,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 14:14:25,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 13:50:46,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,MAS RAPIDO EN LA DEVOLUCION DE TRAMITES Y CONTESTACION DE SELLADOS ETC.
28/12/2020 13:15:26,SI,SI,SI,Nada satisfactoria,Buena,Recepción por correo electrónico,Hace 30 minutos que estoy en el 148-1 sin atención 
28/12/2020 13:01:10,NO,SI,SI,Satisfactoria,Buena,ingresé por otro motivo,"colocar abreviaturas, no ayuda a comprender a quienes no manejan el sistema. "
28/12/2020 12:46:32,NO,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,mi tramite de baja de dominio por cambio de radicacion esta en proceso esta en proceso
28/12/2020 12:42:13,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 12:38:13,SI,SI,SI,Satisfactoria,Regular,Recepción por correo electrónico,Mejorar el Detalle de la cuenta tributaria de todos los tributos
28/12/2020 12:33:28,SI,NO,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,"Al realizar el alta de la cuenta deberían cambiar la forma de validación, ya que el ID del pago es un dato muy engorroso y el sistema no aceptaba el que yo cargaba, por lo que tuve que solicitar ayuda al 148."
28/12/2020 12:23:52,NO,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 12:21:51,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Disculpe, pero no utilizo demasiado la pagina como para opinar, creo que por ese motivo me es sólo satisfactoria y me cuesta un poco utilizarla. No se si mi trámite se resolvió, ya que sólo lo he enviado"
28/12/2020 12:17:41,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 12:11:48,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,MEJORAR LA BAJA DE DOCUMENTOS EN PDF
28/12/2020 11:10:07,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 10:20:23,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 10:14:00,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 10:09:57,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 10:09:36,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 10:08:05,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
28/12/2020 9:54:38,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 9:48:18,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,QUE SE PUEDAN PAGAR LOS INTERESES POR ESTE MEDIO
28/12/2020 9:26:24,NO,NO,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,"Es muy complejo el mecanismo para cancelar deudas. Debería ser más simple poder pagar impuestos. 
No está claro el mecanismo para pago por CBU. (al menos no fue claro para mi). "
28/12/2020 9:12:55,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
28/12/2020 9:04:08,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"MANTENER TRAMITES ON LINE, EVITA PERDIDA DE TIEMPO Y RECURSOS"
28/12/2020 8:50:26,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,Mantener este mecanismo en la etapa post pandemia
28/12/2020 0:10:55,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
27/12/2020 23:07:01,SI,SI,SI,Satisfactoria,Buena,bolsa de comercio,cada vez que realizo un tramite y se observa el mismo no me dicen el motivo! eso me molesta porque  no se porque es la observacion!
23/12/2020 23:47:56,SI,SI,SI,Muy satisfactoria,Regular,Descarga de la página web de ATM,"el sistema net sit no esta completo esta desactualizado y faltan datos que se encuentran mal cargados , la cartografia no esta actualizada lo que hace que cometamos errores que provocan correcciones que debemos pagar por situaciones ajenas a nosotros en su gran mayoria Gracias"
23/12/2020 20:15:18,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 19:42:57,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
23/12/2020 17:36:40,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,QUE LA RESPUESTA POR MAIL SEAN MAS RAPIDAS EN SER CONTESTADAS
23/12/2020 16:17:19,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 16:09:34,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,Falta orientacion y respuestas claras para realizar los tramites. No dan razones de los rechazos.
23/12/2020 15:05:25,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
23/12/2020 13:55:29,SI,SI,NO,Nada satisfactoria,Regular,Descarga de la página web de ATM,"Realmente es conveniente que nos entreguen las boletas en formato papel debido a que tenemos innumerables comprobantes para pagar y se nos puede pasar alguno. Creo que es obligación de ATM hacer llegar los comprobantes en tiempo y forma. Con respecto al sellado de Ordenes de Compra, el tramite realizado por la pagina es sumamente demoroso porque debemos esperar una semana, por lo menos, para obtener la respuesta, y algunas veces debimos reclamar para que nos envíen luego de una semana. CREEMOS QUE LA ATENCIÓN PERSONALIZADA NO DEBE SER REEMPLAZADA, EN TODO CASO DEBERÍA SER MIXTA A ELECCIÓN DEL CONTRIBUYENTE."
23/12/2020 13:38:09,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,que  resuelvan los  trámites  del 2019 presentados   y me  levanten una inhibición ilógica por que no existe deuda
23/12/2020 13:34:48,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
23/12/2020 12:59:51,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
23/12/2020 12:55:54,NO,NO,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,"NO SE ENTIENDE ABSOLUTAMENTE NADA LO QUE HAY EN LA SECCION MIS TRAMITES, NO LOGRE ENCONTRAR L OQUE BUSCABA ASIQUE SELECCIONE LO QUE ME PARECIO LO MAS CERCA DE LO QUE NE CESITO"
23/12/2020 12:48:06,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
23/12/2020 12:44:04,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
23/12/2020 12:42:59,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Es muy practica la web y a nueva sección mis trámites. Agradecería que continúe activa. Y con instructivos para utilizarla.
23/12/2020 12:27:52,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 11:39:06,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 11:28:28,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 11:21:14,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,Debería ser mas fácil recuperar las contraseñas
23/12/2020 11:19:04,SI,SI,SI,Satisfactoria,Muy Buena,.,
23/12/2020 10:42:04,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 10:26:12,SI,SI,SI,Satisfactoria,Muy Buena,Recepción por correo electrónico,
23/12/2020 10:15:40,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
23/12/2020 9:45:00,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
23/12/2020 9:38:04,NO,NO,SI,Muy satisfactoria,Buena,Entrega en su domicilio real,
23/12/2020 9:25:24,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"Nos cuesta comunicarnos con el numero de atención para solucionar dudas que me han surgido bastantes, estaría faltando ese apoyo."
23/12/2020 7:46:33,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
23/12/2020 7:12:36,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 20:14:41,SI,SI,SI,Muy satisfactoria,Buena,bolsa de comercio,corregir la palabra PRESIONE que está escrita con C
22/12/2020 19:29:28,SI,SI,SI,Satisfactoria,Regular,Recepción por correo electrónico,Hay trámites que cuando uno va de forma presencial deberían poder resolverse en el momento y que no te manden a hacerlo de manera online.
22/12/2020 19:16:57,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 17:59:52,NO,SI,SI,Satisfactoria,Buena,LO OBTUVE EN LA BOLSA DE COMERCIO DE MENDOZA.-,
22/12/2020 17:52:03,SI,SI,NO,Nada satisfactoria,Regular,Recepción por correo electrónico,
22/12/2020 17:28:54,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 16:47:58,SI,SI,SI,Satisfactoria,Buena,home banking,"donde dice presione aquí, se escribe con s"
22/12/2020 16:32:02,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
22/12/2020 15:51:33,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
22/12/2020 13:51:24,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 13:40:57,SI,SI,NO,Satisfactoria,Buena,Entrega en su domicilio real,
22/12/2020 13:24:37,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,CONTINÚEN CON ESA CALIDAD DE SERVICIO
22/12/2020 12:41:38,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Para obtener la clave de oficina virtual es incomodo solicitar al contribuyente un boleto pagado con anterioridad, deben mejorar y simplificar la forma de obtener y recuperar la clave ya que muchas veces no llega el correo de vinculación. También deben mejorar las opciones para generar los vep a pagar, que sea como afip x red link, banelco, interbankig o bolsa de comercio, y que incluya los intereses"
22/12/2020 12:10:01,SI,SI,SI,Muy satisfactoria,Regular,Descarga de la página web de ATM,La baja de planes con pago por CBU debería ser automática o en su defecto informar la fecha de pago antes de generarlo.
22/12/2020 12:08:02,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,Soy abogada y tengo muchas dificultades la momento de generar la boleta de tasa de justicia. Hay muchas opciones que el sistema no registra y lo mismo sucede cuando realizo el reclamo por la oficina virtual.
22/12/2020 11:46:19,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 11:22:20,SI,NO,SI,Satisfactoria,Buena,Entrega en su domicilio real,
22/12/2020 11:15:46,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
22/12/2020 11:10:31,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
22/12/2020 10:54:35,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 10:06:29,NO,SI,NO,Nada satisfactoria,Mala,no lo eh recibido,"trabajo en una agencia de autos donde realizamos cesiones de planes de ahorro, este tramite es realmente muy engorroso para que lo realicen los clientes ya que muchos no entienden no saben y no quieren seguir todos estos pasos e incluso tener q interecatuar con el comprador de su plan, deberian seguir haciendolo como era antes
asi es un desastre total
"
22/12/2020 9:42:55,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,desde ATM me ayudaron telefonicamente para realizar el tramite
22/12/2020 8:52:18,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"Sinceramente es una Página bastante amigable,"
22/12/2020 8:34:38,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,nada
22/12/2020 8:34:23,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
22/12/2020 8:08:02,SI,SI,NO,Satisfactoria,Muy Buena,Descarga de la página web de ATM,Es un poco lenta la respuesta recibir el sellado y estaría buenisimo tener un telefono a donde contactarse para q informen el estado del trámite
21/12/2020 23:03:53,NO,SI,SI,Satisfactoria,Buena,SOLICITE LA MISMA EN OFICINAS ALTERNATIVAS,
21/12/2020 22:55:54,NO,NO,NO,Poco satisfactoria,Regular,Entrega en su domicilio real,
21/12/2020 22:55:17,NO,NO,NO,Poco satisfactoria,Regular,Entrega en su domicilio real,
21/12/2020 21:19:41,NO,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 20:13:12,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 20:09:39,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,"La pagina no muestra los pagos realizados por el contribuyente . y la resolucion de las solicitudes presentadas no es siempre resuelta con rapidez, hay bastante demora y no se puede reclamar o consultar a nadie porque no se sabe a quien consultar. 
para los contadores es bastante complicado . "
21/12/2020 19:47:25,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Excelente la app
21/12/2020 17:42:21,SI,SI,SI,Satisfactoria,Muy Buena,Recepción por correo electrónico,
21/12/2020 16:01:34,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 16:00:03,NO,SI,SI,Satisfactoria,Buena,"cambio de titularidad, está en proceso",
21/12/2020 15:55:46,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,Sería bueno poder entrar y pagar las deudas con tarjeta de crédito y débito.
21/12/2020 15:47:22,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 14:49:42,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 14:45:22,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,"Los tiempos son muy prolongados , lo que se hacia presencial en 20 minutos ahora se demoran hasta diez dias, Caso concreto SELLADO DE CONTRATO DE OBRA PUBLICA , pesimo sistema-"
21/12/2020 14:12:37,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Agregar el Padrón de aquellos Contribuyentes de Mendoza que estén adheridos al Monotributo Unificado.
21/12/2020 13:49:28,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 13:46:58,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 13:12:16,NO,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,"Saqué turno online y no se me informó donde debía ir, fui a ATM centra y luego tuve que correr para llegar a casa de gobierno. Asistí a un turno presencial en donde no se pudo resolver el problema ya que el sistema disponible no se los permitía (las posibilidades limitadas en la atención deberia avisarse cuando uno saca el turno). "
21/12/2020 13:11:50,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 13:09:30,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Los empleados no leen lo que se les solicita, no prestan atención y resuelven a medias. En mi caso pedí resolución a dos tramites (nota clara con lo pedido) REALIZARON UNA Y LO ARCHIVARON. SUGERENCIA CAPACITAR EN MEJOR ANTES DE CERRAR UN EXPEDIENTE VERIFICAR ANTECEDENTE YA QUE ESTABA INDICADO QUE TENIA QUE DEVOLVERLO A OTRO SECTOR PARA FINALIZAR"
21/12/2020 12:49:37,SI,SI,SI,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,
