,ID,Genero,Auto,Propiedad,Hijos,Ingreso_anual,Tipo_trabajo,Nivel_educativo,Estado_civil,Vivienda,Telefono_laboral,Telefono_fijo,Email,Ocupacion,Tamaño_familia,Desempleado,Años_empleado,Edad
222,5009039,F,0,1,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Core staff,3,0,1.52,39.22
224,5009042,F,0,1,0,148500.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,2,0,2.43,48.3
231,5009050,F,0,1,2,202500.0,Working,Higher education,Married,House / apartment,0,0,1,Core staff,4,0,6.27,30.11
236,5009056,M,0,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Drivers,1,0,2.43,24.26
238,5009058,F,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Private service staff,1,0,2.18,20.5
239,5009060,F,0,1,0,94500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,unknown,2,1,0.0,61.14
240,5009062,M,1,1,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Sales staff,2,0,5.69,28.61
249,5009071,F,1,1,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,1,1,High skill tech staff,2,0,8.69,28.1
252,5009074,F,1,1,1,450000.0,State servant,Higher education,Married,House / apartment,0,1,1,Core staff,3,0,1.94,48.53
254,5009078,M,0,1,1,180000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,Drivers,3,0,3.52,38.66
255,5009079,F,0,1,0,112500.0,Working,Higher education,Civil marriage,House / apartment,0,0,1,Laborers,2,0,8.69,27.55
258,5009083,M,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,15.69,56.21
262,5009088,M,1,0,2,202500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Laborers,4,0,8.18,40.33
266,5009090,M,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,11.02,34.57
267,5009092,M,1,1,1,765000.0,Working,Higher education,Married,House / apartment,1,0,0,Managers,3,0,3.27,33.39
271,5009096,F,0,1,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Accountants,3,0,12.02,37.45
274,5009099,F,0,1,0,315000.0,Working,Higher education,Separated,House / apartment,0,0,0,Managers,1,0,1.52,36.33
276,5009103,M,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,Drivers,4,0,11.1,35.21
281,5009108,M,0,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,0,7.52,41.95
283,5009110,F,0,1,0,112500.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,High skill tech staff,2,0,0.85,24.21
284,5009116,F,0,0,0,157500.0,Commercial associate,Higher education,Separated,With parents,0,0,0,unknown,1,0,1.18,43.09
299,5009133,M,0,1,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,59.34
307,5009141,F,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Managers,2,0,4.27,26.44
309,5009143,M,1,0,0,225000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,50.07
311,5009145,M,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2,0,10.18,43.33
318,5009151,F,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,0,7.94,53.59
330,5009163,F,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2,0,8.69,35.36
336,5009170,F,1,0,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,unknown,2,1,0.0,62.63
337,5009177,M,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,0,0,0,Laborers,2,0,3.44,50.17
345,5009186,F,0,0,0,270000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2,0,15.86,48.11
353,5009195,F,0,0,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,Accountants,2,0,23.78,57.37
368,5009213,F,0,0,0,270000.0,Working,Higher education,Married,House / apartment,1,1,0,Accountants,2,0,2.35,33.77
374,5009220,F,1,0,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2,0,2.18,40.16
388,5009238,M,1,0,0,157500.0,Working,Incomplete higher,Married,With parents,0,1,0,Drivers,2,0,2.69,29.05
393,5009242,F,0,0,0,74250.0,Working,Higher education,Separated,Municipal apartment,0,1,0,Core staff,1,0,14.35,52.24
396,5009246,F,0,0,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,5.86,38.88
399,5009249,M,1,0,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,3,0,2.52,27.26
405,5009255,F,0,0,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cleaning staff,1,0,24.61,43.72
408,5009260,F,0,0,0,202500.0,State servant,Higher education,Married,With parents,0,1,0,Core staff,2,0,3.52,39.87
413,5009264,F,0,0,0,40500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,57.74
414,5009265,M,1,0,0,337500.0,State servant,Higher education,Married,With parents,1,1,0,Managers,2,0,4.52,28.11
419,5009270,M,0,0,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0,1,0,Laborers,2,0,6.69,40.47
426,5009278,F,0,0,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,Cleaning staff,2,0,13.19,41.45
440,5009295,F,0,0,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,57.61
442,5009297,F,0,0,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,1,0,Laborers,1,0,5.11,44.08
447,5009302,F,0,0,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,60.4
451,5009306,F,1,0,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,unknown,2,1,0.0,55.14
465,5009325,M,1,0,0,267750.0,Working,Higher education,Married,House / apartment,0,1,0,Laborers,2,0,12.94,57.47
473,5009335,F,0,0,0,139500.0,Working,Higher education,Separated,House / apartment,0,0,0,Managers,1,0,19.44,44.36
477,5009338,M,0,0,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Security staff,2,0,14.52,51.13
479,5009340,M,1,0,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,0,6.69,29.43
486,5009349,M,0,0,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,0,1,0,Drivers,2,0,0.36,57.92
490,5009355,F,0,0,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,14.44,53.91
492,5009359,F,1,0,0,900000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Managers,1,0,20.27,52.19
494,5009361,M,1,0,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,Drivers,2,0,1.6,40.7
501,5009368,M,1,0,0,115290.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,unknown,2,1,0.0,63.48
509,5009378,F,0,0,2,225000.0,Working,Higher education,Married,House / apartment,1,0,1,Core staff,4,0,4.77,30.89
512,5009379,M,1,0,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3,0,3.27,25.82
517,5009383,F,0,0,0,450000.0,State servant,Higher education,Married,House / apartment,0,1,0,Managers,2,0,15.27,40.3
521,5009389,M,0,0,0,279000.0,State servant,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1,0,8.69,30.23
529,5009396,F,0,0,1,76500.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,Accountants,3,0,1.36,34.24
535,5009402,M,0,0,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Security staff,2,0,0.69,56.41
537,5009404,F,0,0,2,67500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Core staff,4,0,1.19,28.28
539,5009405,M,0,0,0,234000.0,Working,Incomplete higher,Married,House / apartment,1,1,0,Drivers,2,0,6.27,38.12
544,5009415,F,0,0,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Core staff,1,0,1.27,52.85
553,5009423,F,0,0,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Security staff,2,0,2.77,53.58
554,5009424,M,0,0,0,108000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,1,0,0,Cooking staff,1,0,3.61,22.4
556,5009426,M,0,0,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,54.6
558,5009428,M,0,0,0,198000.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,Laborers,1,0,3.19,23.7
560,5009431,M,1,0,0,360000.0,State servant,Higher education,Married,Municipal apartment,1,1,0,Drivers,2,0,3.27,40.62
562,5009435,F,0,0,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,54.59
564,5009436,F,0,0,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.28
569,5009441,F,0,0,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,4.61,25.98
574,5009445,F,1,0,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,1,0,0,unknown,2,0,2.02,37.93
576,5009447,M,1,0,0,81000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,Drivers,2,0,9.27,39.52
579,5009450,F,0,0,0,202500.0,State servant,Higher education,Married,House / apartment,0,1,0,Laborers,2,0,3.69,47.29
590,5009459,F,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,unknown,2,0,27.02,53.94
600,5009473,F,0,0,0,180000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,unknown,2,0,12.19,36.25
605,5009484,F,0,0,0,135000.0,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,Cooking staff,2,0,2.18,33.21
608,5009487,F,0,0,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,4,0,7.86,26.66
611,5009490,M,1,0,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,17.02,44.34
614,5009493,M,1,0,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,Drivers,2,0,3.19,32.05
625,5009507,F,0,0,0,202500.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2,0,13.52,44.08
630,5009512,F,0,0,0,157500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Core staff,2,0,7.36,46.24
637,5009518,M,1,0,2,180000.0,Working,Incomplete higher,Married,House / apartment,1,0,0,Laborers,4,0,5.94,34.12
641,5009523,M,1,0,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,1,0,0,Laborers,2,0,3.11,32.85
643,5009526,F,1,0,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,2.69,37.21
653,5009536,M,1,0,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,2.44,42.31
654,5009537,F,1,0,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2,0,4.77,42.51
658,5009543,F,0,0,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,26.69,51.51
672,5009562,F,0,0,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,55.58
676,5009565,M,1,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,8.61,41.49
686,5009575,F,1,0,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,2,0,2.18,46.75
689,5009577,F,0,0,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.36
694,5009582,F,0,0,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,1,0,1.86,31.98
697,5009585,F,0,0,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,Sales staff,1,0,2.18,39.35
699,5009590,F,1,0,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,5.02,23.24
701,5009592,F,0,0,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,0,1,0,unknown,1,1,0.0,64.43
703,5009593,F,1,0,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,2,0,2.44,47.59
709,5009602,F,1,0,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,Sales staff,2,0,7.52,36.84
711,5009603,F,0,0,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3,0,10.18,35.24
714,5009607,F,0,0,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,4,0,2.69,33.61
723,5009617,M,1,0,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,47.55
726,5009620,M,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,2,0,0.27,52.17
730,5009625,F,0,0,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,9.02,52.85
736,5009631,F,0,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,0,5.6,27.08
739,5009633,M,1,0,1,144000.0,Working,Incomplete higher,Married,House / apartment,1,0,0,Drivers,3,0,0.77,27.51
741,5009636,F,0,0,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,58.66
745,5009642,M,0,0,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,1,0,0,unknown,1,0,2.52,23.24
747,5009646,M,0,0,0,117000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Low-skill Laborers,1,0,10.02,40.22
752,5009651,F,0,0,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,29.94,51.06
760,5009660,M,0,0,0,225000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,unknown,1,0,4.86,27.83
764,5009664,F,0,0,0,126000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,unknown,1,1,0.0,52.54
770,5009671,F,0,0,0,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Core staff,2,0,1.19,43.27
772,5009673,F,0,0,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,59.38
787,5009689,F,0,0,0,153000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,unknown,1,1,0.0,63.79
792,5009694,M,1,0,0,1350000.0,Commercial associate,Higher education,Married,Municipal apartment,0,1,1,Managers,2,0,4.27,35.59
799,5009701,F,0,0,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,57.12
804,5009706,F,0,0,0,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2,0,0.94,31.88
808,5009711,F,1,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,1,1,0,Sales staff,2,0,1.19,30.4
810,5009713,M,0,0,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,unknown,1,0,4.69,25.68
816,5009719,F,0,0,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,unknown,1,0,12.19,52.88
818,5009724,F,0,0,0,135000.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2,0,6.77,27.07
822,5009729,M,1,0,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,3.61,36.08
825,5009732,F,1,0,0,270000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,Managers,2,0,20.02,52.95
829,5009736,F,1,0,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,2,0,12.02,40.13
835,5009742,F,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2,0,6.77,33.75
837,5009745,F,1,0,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,unknown,2,0,1.6,37.12
845,5009757,M,1,0,0,270000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Laborers,1,0,4.61,24.88
851,5009762,M,0,0,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,1,0,8.69,38.65
863,5009783,M,1,0,2,445500.0,State servant,Higher education,Married,Municipal apartment,1,0,0,Core staff,4,0,18.69,40.81
865,5009785,F,0,0,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,60.24
876,5009799,F,1,0,0,382500.0,Working,Higher education,Married,House / apartment,1,1,0,unknown,2,0,10.86,42.26
883,5009805,F,0,0,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,3,0,8.94,32.34
898,5009819,F,1,0,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Cooking staff,2,0,14.94,40.75
905,5009826,F,0,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2,0,1.02,43.15
910,5009831,M,1,0,0,166500.0,Working,Higher education,Married,With parents,1,0,0,Core staff,2,0,4.69,28.57
917,5009837,F,0,0,0,135000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Medicine staff,2,0,15.27,35.92
919,5009839,M,1,0,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,1.11,34.6
921,5009843,F,0,0,0,81000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,1,0,4.02,49.1
922,5009844,M,1,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Security staff,2,0,0.36,43.53
924,5009846,M,0,0,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,1,0,Managers,2,0,1.11,33.63
925,5009847,F,0,0,0,99000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,2,0,1.86,27.61
928,5009850,M,1,0,0,360000.0,Commercial associate,Secondary / secondary special,Separated,With parents,1,1,0,Drivers,1,0,1.52,28.13
938,5009864,M,1,0,0,225000.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,Managers,2,0,3.36,39.85
943,5009872,M,1,0,2,427500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Managers,4,0,17.52,41.46
948,5009877,F,0,1,2,157500.0,State servant,Higher education,Married,House / apartment,1,1,0,Core staff,4,0,3.52,42.43
950,5009879,F,0,1,2,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,Laborers,4,0,5.02,26.94
951,5009880,F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,unknown,2,1,0.0,59.23
962,5009889,M,1,1,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,1,Managers,1,0,3.27,36.06
964,5009893,F,1,0,1,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Private service staff,3,0,6.44,32.83
966,5009897,F,1,1,2,90000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,4,0,1.11,30.48
969,5009900,M,1,0,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,10.02,52.35
977,5009914,F,0,1,2,99000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,4,0,1.19,34.91
983,5009922,M,1,1,0,360000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2,0,20.44,54.64
997,5009934,F,0,1,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,4,0,6.44,29.32
1007,5009944,F,0,1,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,1,unknown,1,0,4.11,23.22
1008,5009945,F,1,0,2,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,unknown,4,1,0.0,34.92
1009,5009946,F,1,1,2,90000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,4,0,12.19,34.74
1013,5009951,M,0,1,0,90000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,63.2
1014,5009952,M,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,21.02,44.01
1017,5009957,F,1,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,3,0,8.86,45.48
1022,5009965,F,1,1,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,0,10.6,56.52
1038,5009988,M,1,1,0,495000.0,Pensioner,Higher education,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,62.61
1041,5009991,M,1,0,2,157500.0,Working,Secondary / secondary special,Married,Office apartment,0,0,1,Drivers,4,0,6.52,40.38
1043,5009993,F,0,1,0,135000.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Managers,2,0,10.11,46.1
1044,5009994,M,1,1,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3,0,1.69,38.17
1049,5009999,F,1,0,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,1,Accountants,3,0,7.69,33.76
1051,5010001,F,0,1,2,157500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,4,0,5.6,33.52
1055,5010005,M,1,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,63.85
1058,5010007,F,0,1,1,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,0,1,0,Secretaries,3,0,9.77,29.91
1065,5010015,F,1,1,1,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,unknown,2,0,1.94,35.31
1071,5010020,F,0,0,0,99000.0,Commercial associate,Higher education,Single / not married,With parents,0,0,1,unknown,1,0,6.86,29.66
1073,5010023,F,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,6.35,56.9
1078,5010031,M,1,1,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,60.56
1080,5010036,F,0,1,0,292500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,59.09
1087,5010041,F,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2,0,23.19,59.93
