beneficio_tipo,beneficiario_razon_social,beneficiario_cuit,proyecto_nombre,proyecto_id,proyecto_resumen,sector_edc,provincia_nombre,provincia_id,localidad_nombre,localidad_id,resolucion,anr_abonado,subsidio_tasa_credito
ANR,MR Forja S.R.L,30715237411,"Máquina CNC tipo transfer 
para la fabricación de piezas 
automotrices.",5,"Maquina herramienta controlada por un software CNC LINUX de 
desarrollo propietario, equipada con 5 estaciones de mecanizado,las cuales están provistas de ejes cartesianos (X Y Z) y dispositivos hidráulicos de sujeción dedicados al mecanizado de la pieza ""attachment"" correspondiente a la camioneta Hilux SW4 de la firma Toyota Argentina.",Ingenieria,Córdoba,14,Córdoba,14014010000,RESOL-2021-678-APN-SIECYGCE#MDP,10000000,
ANR,Moltech S.A,30715266144,"Máquina CNC tipo transfer 
para la fabricación de piezas 
automotrices.",5,"Maquina herramienta controlada por un software CNC LINUX de desarrollo propietario, equipada con 5 estaciones de mecanizado,las cuales están provistas de ejes cartesianos (X Y Z) y dispositivos hidráulicos de sujeción dedicados al mecanizado de la pieza ""attachment"" correspondiente a la camioneta Hilux SW4 de la firma Toyota Argentina.",Software,Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2021-678-APN-SIECYGCE#MDP,5320744,
Bonificación de tasa crediticia,Moltech S.A,30715266144,"Máquina CNC tipo transfer 
para la fabricación de piezas 
automotrices.",5,"Maquina herramienta controlada por un software CNC LINUX de desarrollo propietario, equipada con 5 estaciones de mecanizado,las cuales están provistas de ejes cartesianos (X Y Z) y dispositivos hidráulicos de sujeción dedicados al mecanizado de la pieza ""attachment"" correspondiente a la camioneta Hilux SW4 de la firma Toyota Argentina.",Software,Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2021-678-APN-SIECYGCE#MDP,,804432
ANR,Laboratorio Varifarma SA,30682667709,"Desarrollo del proceso de fabricación, para la producción a escala industrial de medicamento nanotecnológico para pacientes oncológicos",6,"Desarrollo de un proceso de fabricación a escala industrial de nanopartículas para elaboración de un medicamento oncológico.
Nanox aporta el desarrollo del medicamento nanotecnológico (paclitaxel nanopartícula) y Varifarma que aporta el know how para desarrollar el proceso productivo a escala industrial.",Nanotecnología,Buenos Aires,6,San Isidro,6756010001,RESOL-2021-919-APN-SIECYGCE#MDP,10000000,
Bonificación de tasa crediticia,Laboratorio Varifarma SA,30682667709,"Desarrollo del proceso de fabricación, para la producción a escala industrial de medicamento nanotecnológico para pacientes oncológicos",6,"Desarrollo de un proceso de fabricación a escala industrial de nanopartículas para elaboración de un medicamento oncológico.
Nanox aporta el desarrollo del medicamento nanotecnológico (paclitaxel nanopartícula) y Varifarma que aporta el know how para desarrollar el proceso productivo a escala industrial.
",Nanotecnología,Buenos Aires,6,San Isidro,6756010001,RESOL-2021-919-APN-SIECYGCE#MDP,,1965503
ANR,Nanox Release Technology SA,30714324809,"Desarrollo del proceso de fabricación, para la producción a escala industrial de medicamento nanotecnológico para pacientes oncológicos",6,"Desarrollo de un proceso de fabricación a escala industrial de nanopartículas para elaboración de un medicamento oncológico.
Nanox aporta el desarrollo del medicamento nanotecnológico (paclitaxel nanopartícula) y Varifarma que aporta el know how para desarrollar el proceso productivo a escala industrial.",Nanotecnología,Buenos Aires,6,Malvinas Argentinas,6515010001,RESOL-2021-919-APN-SIECYGCE#MDP,10000000,
Bonificación de tasa crediticia,Ingeniería Metabólica S.A,30714144673,Desarrollo de insumo para  producción de material utilizado en la impresiones 3D,7,Desarrollo de sistemas de manufactura aditiva para polímeros reforzados con biomaterial de base proteica basado en la tela de araña. ,"Biotecnología 
",Santa Fe,82,Rosario,82084270000,RESOL-2021-723-APN-SIECYGCE#MDP,,645834
ANR,Ingeniería Metabólica S.A,30714144673,Desarrollo de insumo para  producción de material utilizado en la impresiones 3D,7,Desarrollo de sistemas de manufactura aditiva para polímeros reforzados con biomaterial de base proteica basado en la tela de araña. ,"Biotecnología 
",Santa Fe,82,Rosario,82084270000,RESOL-2021-723-APN-SIECYGCE#MDP,9975000,
ANR,Smart Argentina S.R.L,30715458973,Desarrollo de insumo para  producción de material utilizado en la impresiones 3D,7,Desarrollo de sistemas de manufactura aditiva para polímeros reforzados con biomaterial de base proteica basado en la tela de araña. ,"Biotecnología 
",Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2021-723-APN-SIECYGCE#MDP,9900517,
ANR,Universidad Nacional del Litoral,30546670550,Nueva generación de productos veterinarios,8,"Producción y generación de dos hormonas recombinantes por medio del cultivo de células animales modificadas por ingeniería genética, por un lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la implementación de protocolos de inseminación a tiempo fijo (IATF) y superovulación (SOV).",Servicios de investigación y desarrollo,Santa Fe,82,Santa Fe,82063170000,RESOL-2021-518-APN-SIECYGCE#MDP,10000000,
Bonificación de tasa crediticia,Productos Veterinarios SA,30707532439,Nueva generación de productos veterinarios,8,"Producción y generación de dos hormonas recombinantes por medio del cultivo de células animales modificadas por ingeniería genética, por un lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la implementación de protocolos de inseminación a tiempo fijo (IATF) y superovulación (SOV).","Biotecnología 
",Santa Fe,82,Santa Fe,82063170000,RESOL-2021-518-APN-SIECYGCE#MDP,,7862132
ANR,Cellargen Biotech SA,30715674595,Nueva generación de productos veterinarios,8,"Producción y generación de dos hormonas recombinantes por medio del cultivo de células animales modificadas por ingeniería genética, por un lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la implementación de protocolos de inseminación a tiempo fijo (IATF) y superovulación (SOV).",Servicios de investigación y desarrollo,Santa Fe,82,Santa Fe,82063170000,RESOL-2021-518-APN-SIECYGCE#MDP,7000000,
ANR,Biotecnofe SA,30715992198,Nueva generación de productos veterinarios,8,"Producción y generación de dos hormonas recombinantes por medio del cultivo de células animales modificadas por ingeniería genética, por un lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), lado, la Hormona Gonadotrofina Coriónica humana (hCG) y Hormona Folículo Estimulante bovina (rbFSH), ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la ambas servirán para inducir ovulación en el ganado bovino, porcino, caprino, ovino y en camélidos mediante la implementación de protocolos de inseminación a tiempo fijo (IATF) y superovulación (SOV).","Biotecnología 
",Santa Fe,82,Santa Fe,82063170000,RESOL-2021-518-APN-SIECYGCE#MDP,7000000,
ANR,Vetanco S.A,30623368935,Producción de terapias innovadoras contra Cryptosporidium parvum.,9,"El proyecto propone desarrollar, evaluar la performance, producir a escala piloto y registrar en SENASA dos productos biológicos contra Cryptosporidium: Bioinnovo IgY DNT Crypto y Cryptovax Block, basados en las dos plataformas de Bioinnovo que le permitieron desarrollar los productos Bioinnovo IgY DNT y Vedevax Block, ambos en el mercado desde 2017 y 2018 respectivamente. El presente proyecto plantea desarrollar una vacuna a subunidad que sea capaz de controlar la infección causada por Cryptosporidium parvum en bovinos.","Biotecnología 
",Buenos Aires,6,General Rodriguez,6364030001,RESOL-2021-726-APN-SIECYGCE#MDP,9950000,
Bonificación de tasa crediticia,Vetanco S.A,30623368935,Producción de terapias innovadoras contra Cryptosporidium parvum.,9,"El proyecto propone desarrollar, evaluar la performance, producir a escala piloto y registrar en SENASA dos productos biológicos contra Cryptosporidium: Bioinnovo IgY DNT Crypto y Cryptovax Block, basados en las dos plataformas de Bioinnovo que le permitieron desarrollar los productos Bioinnovo IgY DNT y Vedevax Block, ambos en el mercado desde 2017 y 2018 respectivamente. El presente proyecto plantea desarrollar una vacuna a subunidad que sea capaz de controlar la infección causada por Cryptosporidium parvum en bovinos.","Biotecnología 
",Buenos Aires,6,General Rodriguez,6364030001,RESOL-2021-726-APN-SIECYGCE#MDP,,3070076
ANR,Bioinnovo S.A,30714645427,Producción de terapias innovadoras contra Cryptosporidium parvum.,9,"El proyecto propone desarrollar, evaluar la performance, producir a escala piloto y registrar en SENASA dos productos biológicos contra Cryptosporidium: Bioinnovo IgY DNT Crypto y Cryptovax Block, basados en las dos plataformas de Bioinnovo que le permitieron desarrollar los productos Bioinnovo IgY DNT y Vedevax Block, ambos en el mercado desde 2017 y 2018 respectivamente. El presente proyecto plantea desarrollar una vacuna a subunidad que sea capaz de controlar la infección causada por Cryptosporidium parvum en bovinos.","Biotecnología 
",Buenos Aires,6,Villa Martelli,6861010009,RESOL-2021-726-APN-SIECYGCE#MDP,8590000,
ANR,S.A.B.E.R.R. Sistema De Aceleracion Biotecnologico Empresarial Para Rosario Y Su Region S.R.L.,30711147531,Producción de bioherbicidas para el control de malezas,10,"Desarrollo de un producto de origen natural para el control de malezas a partir de la obtención de microorganismos (bacterias u hongos) con actividad bioherbicida o metabolitos específicos con actividades fitotóxicas, generando menor impacto ambiental en relación a los productos sintéticos.",Biotecnología,Santa Fe,82,Rosario,82084270000,RESOL-2022-266-APN-SIECYGCE#MDP,9999750,
Bonificación de tasa crediticia,S.A.B.E.R.R. Sistema De Aceleracion Biotecnologico Empresarial Para Rosario Y Su Region S.R.L.,30711147531,Producción de bioherbicidas para el control de malezas,10,"Desarrollo de un producto de origen natural para el control de malezas a partir de la obtención de microorganismos (bacterias u hongos) con actividad bioherbicida o metabolitos específicos con actividades fitotóxicas, generando menor impacto ambiental en relación a los productos sintéticos.",Biotecnología,Santa Fe,82,Rosario,82084270000,RESOL-2022-266-APN-SIECYGCE#MDP,,517620
ANR,Indrasa Biotecnologia S.A.,33714529809,Producción de bioherbicidas para el control de malezas,10,"Desarrollo de un producto de origen natural para el control de malezas a partir de la obtención de microorganismos (bacterias u hongos) con actividad bioherbicida o metabolitos específicos con actividades fitotóxicas, generando menor impacto ambiental en relación a los productos sintéticos.",Nanotecnología,Córdoba,14,Río Cuarto,14098230000,RESOL-2022-266-APN-SIECYGCE#MDP,9980000,
Bonificación de tasa crediticia,LA.TE Andes  S.A.,30714779334,"Andino 3D. Proyecto de
 estabilización y optimización
 del software.",11,"Andino 3D© es un software de modelado estructural apuntado a resolver problemas en la exploración y desarrollo de hidrocarburos(Sector Energético). Integra información geológica de un área (sísmica2D y 3D, pozos, mapas, datos de superficie, topografía y sensores remotos, etc.) de manera sencilla y amigable en un ambientetridimensional.",Geoingeniería,Salta,66,Vaqueros,66077020000,RESOL-2021-677-APN-SIECYGCE#MDP,,731863
ANR,LA.TE Andes  S.A.,30714779334,"Andino 3D. Proyecto de
 estabilización y optimización
 del software.",11,"Andino 3D© es un software de modelado estructural apuntado a resolver problemas en la exploración y desarrollo de hidrocarburos(Sector Energético). Integra información geológica de un área (sísmica2D y 3D, pozos, mapas, datos de superficie, topografía y sensores remotos, etc.) de manera sencilla y amigable en un ambientetridimensional.",Geoingeniería,Salta,66,Vaqueros,66077020000,RESOL-2021-677-APN-SIECYGCE#MDP,9060000,
ANR,Instituto Biológico Argentino S.A.I.C.,30501145315,"Desarrollo de una línea de producción, envasado y acondicionamiento de productos inmunobiológicos de uso veterinario para mercados de alta exigencia regulatoria.",12,Desarrollo de dos nuevos tipos de sueros antiofídicos y para esto necesita adecuar las instalaciones con las que cuentan a fin de cumplir los requisitos para su fabricación y poder hacerlo a gran escala.,"Biotecnología 
",Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2021-527-APN-SIECYGCE#MDP,10000000,
Bonificación de tasa crediticia,Instituto Biológico Argentino S.A.I.C.,30501145315,"Desarrollo de una línea de producción, envasado y acondicionamiento de productos inmunobiológicos de uso veterinario para mercados de alta exigencia regulatoria.",12,Desarrollo de dos nuevos tipos de sueros antiofídicos y para esto necesita adecuar las instalaciones con las que cuentan a fin de cumplir los requisitos para su fabricación y poder hacerlo a gran escala.,"Biotecnología 
",Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2021-527-APN-SIECYGCE#MDP,,#ERROR!
Bonificación de tasa crediticia,Tecnovax S.A.,30708430001,"Desarrollo de una línea de producción, envasado y acondicionamiento de productos inmunobiológicos de uso veterinario para mercados de alta exigencia regulatoria.",12,Desarrollo de dos nuevos tipos de sueros antiofídicos y para esto necesita adecuar las instalaciones con las que cuentan a fin de cumplir los requisitos para su fabricación y poder hacerlo a gran escala.,Industria 4.0,Buenos Aires,6,Victoria,6749010002,RESOL-2021-527-APN-SIECYGCE#MDP,,7853425
ANR,Tecnovax S.A.,30708430001,"Desarrollo de una línea de producción, envasado y acondicionamiento de productos inmunobiológicos de uso veterinario para mercados de alta exigencia regulatoria.",12,Desarrollo de dos nuevos tipos de sueros antiofídicos y para esto necesita adecuar las instalaciones con las que cuentan a fin de cumplir los requisitos para su fabricación y poder hacerlo a gran escala.,Industria 4.0,Buenos Aires,6,Victoria,6749010002,RESOL-2021-527-APN-SIECYGCE#MDP,10000000,
ANR,Uncaus,30710588968,Plz. Hub de innovación agroindustrial.,13,"Fortalecimiento de las empresas e instituciones que integran el HUB DE INNOVACIÓN AGROINDUSTRIAL para lograr la efectiva trasnformación y automatización de la Planta de alimentos balanceados para Rumiantes y Ungulados (bovinos y camelidos, respectivamente) a partir del abundante residuo de la industria forestal del centro Chaqueño. Aplicando biotecnología en la formulación de dietas personalizadas según requerimientos. Proyecto con un producto con gran potencial exportable hacia medio oriente.",Biotecnología,Chaco,22,Presidencia Roque Saenz Peña,22021010000,RESOL-2021-978-APN-SIECYGCE#MDP,3631596,
ANR,Agroveterinaria Esperanza SA,30711427275,Plz. Hub de innovación agroindustrial.,13,"Fortalecimiento de las empresas e instituciones que integran el HUB DE INNOVACIÓN AGROINDUSTRIAL para lograr la efectiva trasnformación y automatización de la Planta de alimentos balanceados para Rumiantes y Ungulados (bovinos y camelidos, respectivamente) a partir del abundante residuo de la industria forestal del centro Chaqueño. Aplicando biotecnología en la formulación de dietas personalizadas según requerimientos. Proyecto con un producto con gran potencial exportable hacia medio oriente.",Biotecnología,Santa Fe,82,Esperanza,82070050000,RESOL-2021-978-APN-SIECYGCE#MDP,7764159,
Bonificación de tasa crediticia,Agroveterinaria Esperanza SA,30711427275,Plz. Hub de innovación agroindustrial.,13,"Fortalecimiento de las empresas e instituciones que integran el HUB DE INNOVACIÓN AGROINDUSTRIAL para lograr la efectiva trasnformación y automatización de la Planta de alimentos balanceados para Rumiantes y Ungulados (bovinos y camelidos, respectivamente) a partir del abundante residuo de la industria forestal del centro Chaqueño. Aplicando biotecnología en la formulación de dietas personalizadas según requerimientos. Proyecto con un producto con gran potencial exportable hacia medio oriente.",Biotecnología,Santa Fe,82,Esperanza,82070050000,RESOL-2021-978-APN-SIECYGCE#MDP,,2712887
ANR,Com Seg Argentina SAS,30716214539,Plz. Hub de innovación agroindustrial.,13,"Fortalecimiento de las empresas e instituciones que integran el HUB DE INNOVACIÓN AGROINDUSTRIAL para lograr la efectiva trasnformación y automatización de la Planta de alimentos balanceados para Rumiantes y Ungulados (bovinos y camelidos, respectivamente) a partir del abundante residuo de la industria forestal del centro Chaqueño. Aplicando biotecnología en la formulación de dietas personalizadas según requerimientos. Proyecto con un producto con gran potencial exportable hacia medio oriente.",Biotecnología,Chaco,22,Resistencia,22140060000,RESOL-2021-978-APN-SIECYGCE#MDP,5060000,
ANR,G Y F Group SAS,30716465515,Plz. Hub de innovación agroindustrial.,13,"Fortalecimiento de las empresas e instituciones que integran el HUB DE INNOVACIÓN AGROINDUSTRIAL para lograr la efectiva trasnformación y automatización de la Planta de alimentos balanceados para Rumiantes y Ungulados (bovinos y camelidos, respectivamente) a partir del abundante residuo de la industria forestal del centro Chaqueño. Aplicando biotecnología en la formulación de dietas personalizadas según requerimientos. Proyecto con un producto con gran potencial exportable hacia medio oriente.",Biotecnología,Chaco,22,Resistencia,22140060000,RESOL-2021-978-APN-SIECYGCE#MDP,5622308,
ANR,Canale S.R.L.,30584714324,Sistema Inteligente para tratamiento de residuos provenientes de la generación eléctrica por biomasa con tecnología 4.0,14,"Desarrollo de tres líneas inteligentes, dentro de contenedores, para el tratamiento y la gestión integral de los residuos producidos por las plantas de generación eléctrica, operadas a partir de la gasificación de biomasa. Estos ""sistemas contenerizados"", permitirán transformar residuos tales como el alquitrán y las cenizas, en insumos útiles y comercializables, para abastecer en el mercado a industrias como la del asfalto, pintura, tabaco, entre otras.",Industria 4.0,Córdoba,14,Colonia Caroya,14021050000,RESOL-2022-96-APN-SIECYGCE#MDP,10000000,
Bonificación de tasa crediticia,Canale S.R.L.,30584714324,Sistema Inteligente para tratamiento de residuos provenientes de la generación eléctrica por biomasa con tecnología 4.0,14,"Desarrollo de tres líneas inteligentes, dentro de contenedores, para el tratamiento y la gestión integral de los residuos producidos por las plantas de generación eléctrica, operadas a partir de la gasificación de biomasa. Estos ""sistemas contenerizados"", permitirán transformar residuos tales como el alquitrán y las cenizas, en insumos útiles y comercializables, para abastecer en el mercado a industrias como la del asfalto, pintura, tabaco, entre otras.",Industria 4.0,Córdoba,14,Colonia Caroya,14021050000,RESOL-2022-96-APN-SIECYGCE#MDP,,343940
ANR,Bio Generacion S.A.S.,30716407213,Sistema Inteligente para tratamiento de residuos provenientes de la generación eléctrica por biomasa con tecnología 4.0,14,"Desarrollo de tres líneas inteligentes, dentro de contenedores, para el tratamiento y la gestión integral de los residuos producidos por las plantas de generación eléctrica, operadas a partir de la gasificación de biomasa. Estos ""sistemas contenerizados"", permitirán transformar residuos tales como el alquitrán y las cenizas, en insumos útiles y comercializables, para abastecer en el mercado a industrias como la del asfalto, pintura, tabaco, entre otras.",Software,Córdoba,14,Río Cuarto,14098230000,RESOL-2022-96-APN-SIECYGCE#MDP,10000000,
ANR,Open Technologies S.A,30712192662,“PLATAFORMA TECNOLOGICA 4.0 PARA PYME INDUSTRIAL”. Integración e Interoperabilidad entre software ERP y hardware IIOT,16,"Crear una plataforma tecnológica donde se puedan ofrecer módulos de producción, calidad, mantenimiento, seguridad y recursos humanos adaptados al segmento Pyme, que a partir del uso de diversas API ́s permitirá conectarse
con diversos sensores y dispositivos (hardware) de uso industrial.",Software,Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires,2000010000,RESOL-2022-345-APN-SIECYGCE#MDP,5997500,
ANR,Romar Produccion Sa,30713414103,“PLATAFORMA TECNOLOGICA 4.0 PARA PYME INDUSTRIAL”. Integración e Interoperabilidad entre software ERP y hardware IIOT,16,"Crear una plataforma tecnológica donde se puedan ofrecer módulos de producción, calidad, mantenimiento, seguridad y recursos humanos adaptados al segmento Pyme, que a partir del uso de diversas API ́s permitirá conectarse
con diversos sensores y dispositivos (hardware) de uso industrial.","Software, Hardware y Machine lerning",Buenos Aires,6,Lanús,6434010001,RESOL-2022-345-APN-SIECYGCE#MDP,9400000,
Bonificación de tasa crediticia,Romar Produccion Sa,30713414103,“PLATAFORMA TECNOLOGICA 4.0 PARA PYME INDUSTRIAL”. Integración e Interoperabilidad entre software ERP y hardware IIOT,16,"Crear una plataforma tecnológica donde se puedan ofrecer módulos de producción, calidad, mantenimiento, seguridad y recursos humanos adaptados al segmento Pyme, que a partir del uso de diversas API ́s permitirá conectarse
con diversos sensores y dispositivos (hardware) de uso industrial.","Software, Hardware y Machine lerning",Buenos Aires,6,Lanús,6434010001,RESOL-2022-345-APN-SIECYGCE#MDP,,0
ANR,Aconcagua Software Factory S.A,30709404039,"Gestión de riesgo sanitario por control de trazabilidad de distanciamiento social con dispositivo bluetooth low energy (BLE), detección de accidentes laborales, posicionamiento indoor y outdoor",17,"Solución tecnológica que a partir de la utilización de dispositivos activos BLE puede detectar proximidad con alta precisión, y comunicar los incidentes de ruptura de distancia. Estos incidentes permiten auditar la cadena de contaminación y contactos en ambientes laborales que deben retomar la actividad. Los dispositivos que porta cada usuario/a, a su vez, cuentan con la capacidad de alerta mediante indicadores lumínicos y sonoros.",Software,Mendoza,50,Mendoza,50007010001,RESOL-2021-753-APN-SIECYGCE#MDP,4120000,
Bonificación de tasa crediticia,Aconcagua Software Factory S.A,30709404039,"Gestión de riesgo sanitario por control de trazabilidad de distanciamiento social con dispositivo bluetooth low energy (BLE), detección de accidentes laborales, posicionamiento indoor y outdoor",17,"Solución tecnológica que a partir de la utilización de dispositivos activos BLE puede detectar proximidad con alta precisión, y comunicar los incidentes de ruptura de distancia. Estos incidentes permiten auditar la cadena de contaminación y contactos en ambientes laborales que deben retomar la actividad. Los dispositivos que porta cada usuario/a, a su vez, cuentan con la capacidad de alerta mediante indicadores lumínicos y sonoros.",Software,Mendoza,50,Mendoza,50007010001,RESOL-2021-753-APN-SIECYGCE#MDP,,973795
ANR,Security Consultant S.A,30710205899,"Gestión de riesgo sanitario por control de trazabilidad de distanciamiento social con dispositivo bluetooth low energy (BLE), detección de accidentes laborales, posicionamiento indoor y outdoor",17,"Solución tecnológica que a partir de la utilización de dispositivos activos BLE puede detectar proximidad con alta precisión, y comunicar los incidentes de ruptura de distancia. Estos incidentes permiten auditar la cadena de contaminación y contactos en ambientes laborales que deben retomar la actividad. Los dispositivos que porta cada usuario/a, a su vez, cuentan con la capacidad de alerta mediante indicadores lumínicos y sonoros.",Industria 4.0,Mendoza,50,Godoy Cruz,50021010001,RESOL-2021-753-APN-SIECYGCE#MDP,5330000,
