Marca temporal,Nro_Mes,Mes_Marca,Con_Mes,1. Utiliza habitualmente la página web de ATM,3. Le resultó simple la creación de su cuenta en Mis Trámites,4. Le resulta comprensible la sección de Mis Trámites,"5. El trámite solicitado dentro de Mis Trámites Online, lo pudo iniciar de forma:",2. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2021 lo obtiene por:,Defina (máximo en dos palabras) como es el servicio brindado por la página web de ATM,Agregue aquí su sugerencia
4/2/2021 9:52:45,02,FEBRERO,02-FEBRERO,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 10:07:50,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 10:22:19,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 10:51:51,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 11:08:15,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,"Deberían especificar que trámite es on line o presencial
",
4/2/2021 11:32:15,02,FEBRERO,02-FEBRERO,NO,NO,NO,Poco satisfactoria,Regular,Entrega en su domicilio real,Que brinden otros medios de comunicación ,
4/2/2021 12:09:08,02,FEBRERO,02-FEBRERO,SI,NO,NO,Nada satisfactoria,Regular,Descarga de la página web de ATM,"No entiendo por qué motivo no atienden presencialmente para solucionar problemas, estuve 2 horas intentando comunicarme al 148 y llevo más de un mes tratando de sellar unos contratos...",
4/2/2021 12:19:24,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Recepción por correo electrónico,,
4/2/2021 12:36:56,02,FEBRERO,02-FEBRERO,SI,SI,NO,Poco satisfactoria,,Descarga de la página web de ATM,"cuando alguien quiere iniciar un tramite por algo especifico que no te permite debería haber una opción de varios para que se puedan realizar las presentaciones por ejemplo en el área de catastro por una omisión de alta, me dice que no lo permite por que mi cuit no esta habilitada",
4/2/2021 12:38:01,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 12:55:56,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 13:20:25,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 13:43:15,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 13:51:19,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,"Deberían especificar que trámite es on line o presencial
",
4/2/2021 14:09:31,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,,
4/2/2021 14:10:25,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 15:13:21,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"MUY COMPLETA LA PAGINA, por este reclamo que hice, fui el día 04-02-21, a la sucursal ATM, del Departamento Tunuyán, y un funcionario masculino me atendió de muy mala manera, y me dijo que no se podía hacer nada, que había perdido el dinero del pago erróneo que hice y que tenia que buscar al titular del dominio al que le hice el pago erróneo y que arreglara con el,  para que me devolviera el pago,  luego una funcionaria mujer del mismo lugar me informo que podía reclamar generando un expediente electrónico. Gracias. ",
4/2/2021 15:17:27,02,FEBRERO,02-FEBRERO,NO,NO,SI,Satisfactoria,Buena,Entrega en su domicilio real,,
4/2/2021 15:24:45,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
4/2/2021 15:29:22,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 15:35:38,02,FEBRERO,02-FEBRERO,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,,
4/2/2021 17:05:16,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,"Arreglen tasa cero, no se puede imprimir una vez tramitada. Hay un cartel que aparece y dice que sólo funciona con explorer, no es cierto.",
4/2/2021 17:07:28,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,,
4/2/2021 17:07:44,02,FEBRERO,02-FEBRERO,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,,
4/2/2021 17:22:27,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,NO SE PUEDE IMPRIMIR BIEN EL DETALLE DE DEUDA DE INGRESOS BRUTOS ,
4/2/2021 17:54:02,02,FEBRERO,02-FEBRERO,SI,NO,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,,
4/2/2021 18:05:23,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Regular,Recepción por correo electrónico,mas didactica e intuituva,
4/2/2021 19:34:31,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Estoy exceptuado por discapacidad,Muchas gracias por permitirme hacer el trámite por este medio. ,
4/2/2021 20:20:32,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"El tiempo que se toman para procesar los pedidos de sellados de ordenes de compra es excesivo, cuando se hacía presencialmente era muchísimo mas eficiente. No entiendo por que un trámite digital puede tardar una semana. ",
4/2/2021 20:38:05,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 20:50:27,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,ESPERO PRONTA RESOLUCIÓN DE MI SITUACIÓN,
4/2/2021 21:26:08,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 21:58:39,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"SI SERIAN TAN AMABLES DE RESOLVER UN POCO MAS RAPIDOS LOS EXPTES YO TENGO UNO PENDIENTE DESDE NOVIEMBRE DEL 2020 Y AUN NO ESTA INFORMADO.----MIENTRAS QUE LOS LIBRE DEUDA SON BASTANTES AGILES EN ENVIARLOS, ASI QUE EN ESO MIS FELICITACIONES.-",
4/2/2021 23:37:46,02,FEBRERO,02-FEBRERO,NO,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
4/2/2021 23:41:25,02,FEBRERO,02-FEBRERO,NO,NO,NO,Poco satisfactoria,Buena,Recepción por correo electrónico,,
5/2/2021 8:24:37,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
5/2/2021 9:15:14,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,en algun tramite la pagina es un poco complicada,
5/2/2021 9:34:57,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,,
5/2/2021 9:51:20,02,FEBRERO,02-FEBRERO,SI,NO,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,,
5/2/2021 10:10:28,02,FEBRERO,02-FEBRERO,SI,SI,NO,Satisfactoria,Muy Buena,Descarga de la página web de ATM,los requisitos de los tramites debieran estar claros ,
5/2/2021 10:36:39,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,,
5/2/2021 10:51:14,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
5/2/2021 12:11:06,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
5/2/2021 12:11:32,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,Se debe mejorar y agilizar los exptes de catastro para tener dinamica de trabajo e informacion. (nsit)..,
5/2/2021 12:11:33,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,,
5/2/2021 12:17:37,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
5/2/2021 12:24:53,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,,
5/2/2021 12:41:53,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Muy Buena,No me llega a mi domicilio,,
5/2/2021 13:17:36,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,muy claros,
5/2/2021 14:09:31,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,,
5/2/2021 14:32:48,02,FEBRERO,02-FEBRERO,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,,
5/2/2021 14:48:38,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
5/2/2021 15:31:40,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
5/2/2021 16:22:16,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"LA RESPUESTA DE TRAMITES NORMALES Y SIMPLES DEBERIA SER DE UNA FORMA MAS RAPIDA, O LA GETSION DE UN PAGO.... LOS TELEFONOS Y CORREOS DE LOS RECAUDADORES DEBERIAN SER DE FACIL ACCESO, A QUE UNO SE CANSA DE LLAMARLOS Y ESCRIBIRLES Y NO ATIENDEN.... SE DEBERIA UNIFICAR LA BOLETA DE DEUDA CON EL NUMERO DE EXPTE DEL JUZGADO, EN EPOCAS DE PANDEMIA DEBERIAMOS AGILIZAR NO ENTORPECER.",
5/2/2021 16:34:58,02,FEBRERO,02-FEBRERO,NO,SI,SI,Poco satisfactoria,Buena,Recepción por correo electrónico,,
5/2/2021 16:47:34,02,FEBRERO,02-FEBRERO,NO,SI,SI,Poco satisfactoria,Regular,Entrega en su domicilio real,,
5/2/2021 16:58:23,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,MAYOR RAPEDEZ EN LA PAGINA - LO DEMAS OK.,
5/2/2021 17:44:11,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,QUE ME LLEGUE UN MAIL PARA LOS AVISOS DE PAGO ,
5/2/2021 17:51:38,02,FEBRERO,02-FEBRERO,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,No puedo responder con veracidad pregunta 4 hasta no tener respuesta,
5/2/2021 19:45:35,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Recepción por correo electrónico,,
5/2/2021 20:32:00,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Entrega en su domicilio real,,
6/2/2021 8:28:43,02,FEBRERO,02-FEBRERO,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,Espero me resuelvan el problema muchas gracias,
6/2/2021 8:30:23,02,FEBRERO,02-FEBRERO,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,,
6/2/2021 10:00:34,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"CREO QUE LA PÁGINA ESTA MUY BUENA, SÓLO QUE NO LA USO DEMASIADO, POR ESO ME RESULTA UN POQUITO COMPLICADA, PERO MIENTRAS MAS LA USO, ME RESULTA MAS CÓMODO Y FÁCIL. ESPERO NO LA MODIFIQUEN",
6/2/2021 11:14:42,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
6/2/2021 11:32:28,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
6/2/2021 13:11:55,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
6/2/2021 15:23:21,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
7/2/2021 11:25:16,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
7/2/2021 13:52:01,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,tal vez mas informacion para los tramites online. ,
7/2/2021 22:17:59,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,,
8/2/2021 9:22:50,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Regular,Entrega en su domicilio real,,
8/2/2021 9:39:44,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 10:08:10,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 10:14:30,02,FEBRERO,02-FEBRERO,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 10:25:42,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 10:27:07,02,FEBRERO,02-FEBRERO,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,,
8/2/2021 11:15:24,02,FEBRERO,02-FEBRERO,NO,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 11:18:07,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 11:18:12,02,FEBRERO,02-FEBRERO,SI,NO,NO,Satisfactoria,Regular,Recepción por correo electrónico,"La página es realmente muy ""dura"" / podrían modernizarla un poco más y hacerla más intuitiva. Incluso a mi que trabajo con computadoras e internet me resulta tediosa, no quiero imaginar si estos trámites los tuviera que hacer una persona más grande y con menos experiencia en trámites online. El resto, todo perfecto. Gracias por pedir sugerencia hasta luego",
8/2/2021 11:42:21,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 12:32:12,02,FEBRERO,02-FEBRERO,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"El sellado de contrato de alquiler fue mejor el año pasado cuando se llenaba formularios, soy corredora inmobiliaria deberíamos tener un usuario diferente. A principios del año pasado había mas interacción con mensajes con la persona que me atendía, hoy no hay respuesta... cuando se requiere por alguna duda, debería haber mas atención personalizada. Muchas gracias",
8/2/2021 12:42:49,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 13:35:53,02,FEBRERO,02-FEBRERO,SI,NO,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 13:57:38,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 14:16:27,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 14:32:35,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 15:44:54,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 17:08:54,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,me cuesta ingresar a tramites on line a veces da error de java,
8/2/2021 17:11:14,02,FEBRERO,02-FEBRERO,NO,SI,NO,Poco satisfactoria,Regular,a,,
8/2/2021 17:57:28,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 18:12:53,02,FEBRERO,02-FEBRERO,SI,NO,NO,Poco satisfactoria,Buena,Entrega en su domicilio real,,
8/2/2021 18:24:59,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,,
8/2/2021 18:37:17,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 18:51:06,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 19:23:48,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 19:31:39,02,FEBRERO,02-FEBRERO,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 20:12:55,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Al principio no me resultó simple, luego de varios intentos lo logré. Sugerencia : el sellado es carísimo para vivienda, debería ser  más accesible. ",
8/2/2021 20:14:16,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 21:37:51,02,FEBRERO,02-FEBRERO,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,"seria bueno que sean mas claras las posibilidades de poder ver deudas y realizar plan de pago. no utilizo la tecnologia, es mas no la entiendo. siempre necesito de ayuda de alguien para poder ver mis comprobantes. gracias",
8/2/2021 22:47:55,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
8/2/2021 22:54:47,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
8/2/2021 22:55:00,02,FEBRERO,02-FEBRERO,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,tengo dinero a favor y otro a abonar y no hay forma de emparejarlo. ,
9/2/2021 3:42:17,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
9/2/2021 9:19:04,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
9/2/2021 9:40:09,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
9/2/2021 10:05:25,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,ULTIMAMENTE ESTA MUCHO TIEMPO EN MANTENIMIENTO LA PAGINA ESPECIALMENTE EN LAS FECHA DE VTOS,
9/2/2021 10:16:26,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
9/2/2021 10:26:46,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
9/2/2021 10:27:47,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,,
9/2/2021 10:41:55,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
9/2/2021 10:42:55,02,FEBRERO,02-FEBRERO,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,,
9/2/2021 10:45:05,02,FEBRERO,02-FEBRERO,SI,SI,NO,Satisfactoria,Regular,No pago porque no soy propietaria,,
9/2/2021 10:56:57,02,FEBRERO,02-FEBRERO,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,No es clara la paǵina en cuanto a realizar ciertos trámites. Está llena de términos contables que el común de la gente no maneja. En mi caso pagué dos veces una cuota de un plan de pago del impuesto automotor y realicé el trámite de acuerdo a lo que me pareció correcto. Sería genial que existiera documentación sobre los procedimientos a seguir.,
9/2/2021 10:59:43,02,FEBRERO,02-FEBRERO,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,,
